Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | AKP | CHP | MHP | HDP | İYİ | SP | DEVA | GP | YRP | MP | TİP | ZP | DEM | Other
Aksoy | N/A | 2023-04-10 | 2023-04-16 | N | 1067 | N/A | 0.1 | 31.1 | 30.6 | 7.5 | 10.5 | 11.4 | N/A | N/A | N/A | N/A | N/A | 2.5 | N/A | N/A | 6.4
ALF | N/A | 2023-04-08 | 2023-04-12 | N | 2340 | N/A | 0.1 | 33.1 | 30.2 | 6.6 | 10.1 | 13.2 | N/A | N/A | N/A | N/A | 4.3 | N/A | N/A | N/A | 2.5
ORC | N/A | 2023-04-07 | 2023-04-11 | N | 5400 | N/A | 0.1 | 31.6 | 28.5 | 6.2 | 8.8 | 14.3 | N/A | N/A | N/A | N/A | 4.1 | 2.0 | 1.4 | N/A | 3.1
Saros | N/A | 2023-03-20 | 2023-03-31 | N | 10826 | N/A | 0.1 | 36.7 | 26.5 | 6.1 | 12.3 | 10.5 | 0.6 | 1.3 | 0.5 | 0.8 | 3.0 | 0.3 | N/A | N/A | 1.4
PİAR | N/A | 2023-03-10 | 2023-03-31 | N | 1460 | N/A | 0.1 | 30.8 | 32.3 | 7.1 | 11.6 | 8.3 | N/A | 2.1 | 3.7 | N/A | N/A | N/A | N/A | N/A | 4.1
Yöneylem | N/A | 2023-03-27 | 2023-03-29 | N | 2655 | N/A | 0.1 | 35.0 | 27.6 | 6.3 | 9.3 | 9.5 | N/A | 0.9 | N/A | 1.1 | 4.5 | 3.3 | 1.0 | N/A | 1.5
Artıbir | N/A | 2023-03-13 | 2023-03-21 | N | 1500 | N/A | 0.1 | 31.1 | 27.9 | 5.7 | 11.6 | 12.2 | 1.0 | 2.6 | 1.2 | 1.3 | 3.2 | 1.0 | 0.3 | N/A | 0.9
Yöneylem | N/A | 2023-03-18 | 2023-03-20 | N | 2400 | N/A | 0.1 | 35.1 | 28.1 | 6.9 | 9.8 | 9.3 | N/A | 0.5 | N/A | 1.6 | 3.6 | 3.3 | 0.9 | N/A | 1.0
ORC | N/A | 2023-03-11 | 2023-03-15 | N | 4540 | N/A | 0.1 | 28.1 | 28.3 | 6.3 | 9.3 | 11.7 | N/A | 2.0 | 2.5 | 1.2 | 2.3 | 1.5 | 1.5 | N/A | 3.7
MOTTO & Bulgu | N/A | 2023-03-11 | 2023-03-15 | N | 1800 | N/A | 0.1 | 32.7 | 26.8 | 7.1 | 10.2 | 12.5 | 0.9 | 0.9 | 0.2 | 0.7 | 5.5 | 1.6 | 0.4 | N/A | 0.5
MAK | N/A | 2023-03-08 | 2023-03-15 | N | 5750 | N/A | 0.1 | 34.2 | 26.0 | 6.3 | 9.3 | 13.6 | 0.9 | 2.1 | 1.0 | 1.3 | 1.0 | N/A | 1.0 | N/A | 3.3
ALF | N/A | 2023-03-06 | 2023-03-07 | N | 1770 | N/A | 0.1 | 31.0 | 31.8 | 6.5 | 11.3 | 8.9 | N/A | 1.5 | 1.3 | 1.9 | 2.2 | N/A | 1.6 | N/A | 2.0
Aksoy | N/A | 2023-02-27 | 2023-03-05 | N | 1537 | N/A | 0.1 | 31.0 | 28.4 | 7.2 | 10.3 | 12.0 | 1.4 | 1.4 | 0.9 | N/A | N/A | 1.1 | N/A | N/A | 6.3
Aksoy | N/A | 2023-02-23 | 2023-02-26 | N | 1537 | N/A | 0.1 | 32.1 | 27.3 | 6.8 | 12.0 | 13.6 | 0.8 | 0.9 | 0.7 | N/A | N/A | N/A | N/A | N/A | 5.8
ALF | N/A | 2023-02-21 | 2023-02-25 | N | 2000 | N/A | 0.1 | 29.5 | 27.8 | 5.6 | 9.8 | 15.7 | N/A | 1.8 | 1.5 | 1.6 | 2.2 | N/A | 2.5 | N/A | 2.0
ORC | N/A | 2023-02-17 | 2023-02-21 | N | 4720 | N/A | 0.1 | 29.1 | 23.5 | 5.4 | 8.1 | 19.5 | N/A | 2.3 | 2.5 | 1.0 | 1.3 | N/A | 2.0 | N/A | 5.3
TEAM | N/A | 2023-02-18 | 2023-02-20 | N | 1930 | N/A | 0.1 | 37.5 | 24.5 | 6.6 | 11.1 | 11.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.7
İEA | N/A | 2023-02-16 | 2023-02-20 | N | 2000 | N/A | 0.1 | 33.7 | 25.8 | 6.8 | 11.2 | 13.9 | N/A | 1.3 | 0.7 | 1.3 | 1.5 | 1.4 | 1.9 | N/A | 0.5
MAK | N/A | 2023-01-01 | 2023-01-31 | N | 5750 | N/A | 0.1 | 34.3 | 25.0 | 6.3 | 8.4 | 15.6 | 0.9 | 2.5 | 1.2 | 1.3 | 0.2 | N/A | 1.0 | N/A | 3.5
Aksoy | N/A | 2023-01-01 | 2023-01-31 | N | 1537 | N/A | 0.1 | 33.3 | 25.5 | 7.7 | 11.1 | 14.6 | 1.1 | 1.2 | 0.2 | N/A | N/A | N/A | N/A | N/A | 5.2
ORC | N/A | 2023-01-23 | 2023-01-26 | N | 4580 | N/A | 0.1 | 30.2 | 23.1 | 5.5 | 7.6 | 19.3 | N/A | 2.6 | 2.7 | N/A | N/A | N/A | 1.8 | N/A | 7.2
ALF | N/A | 2023-01-18 | 2023-01-24 | N | 2000 | N/A | 0.1 | 31.0 | 26.1 | 6.1 | 8.6 | 15.8 | N/A | 2.4 | 2.7 | N/A | 1.4 | N/A | 1.8 | N/A | 4.1
ORC | N/A | 2023-01-13 | 2023-01-16 | N | 3920 | N/A | 0.1 | 31.5 | 25.5 | 6.5 | 8.0 | 19.3 | N/A | 2.3 | 2.8 | N/A | N/A | N/A | 1.4 | N/A | 2.7
TEAM | N/A | 2023-01-11 | 2023-01-14 | N | 2524 | N/A | 0.1 | 37.5 | 26.0 | 6.5 | 11.1 | 11.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.3
PİAR | N/A | 2023-01-07 | 2023-01-09 | N | 2611 | N/A | 0.1 | 31.2 | 25.1 | 6.3 | 11.2 | 14.3 | N/A | 1.1 | 3.8 | N/A | N/A | N/A | 1.6 | N/A | 5.4
ORC | N/A | 2023-01-02 | 2023-01-05 | N | 3780 | N/A | 0.1 | 32.0 | 23.5 | 6.2 | 7.3 | 19.1 | N/A | 2.5 | 2.9 | N/A | N/A | N/A | N/A | N/A | 6.5
S. Politik | N/A | 2022-12-23 | 2023-01-02 | N | 1582 | N/A | 0.1 | 33.2 | 28.5 | 6.5 | 13.1 | 13.3 | 0.8 | 2.9 | 0.7 | N/A | N/A | 0.6 | 0.4 | N/A | 0.0
HBS Araştır. | N/A | 2022-12-01 | 2022-12-31 | N | 55000 | N/A | 0.1 | 30.9 | 25.2 | 6.3 | 10.4 | 20.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.5
TEAM | N/A | 2022-12-01 | 2022-12-31 | N | 5521 | N/A | 0.1 | 35.2 | 26.9 | 7.9 | 10.2 | 12.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.2
ORC | N/A | 2022-12-01 | 2022-12-31 | N | 3670 | N/A | 0.1 | 30.8 | 24.0 | 7.0 | 7.3 | 17.1 | N/A | 2.3 | 2.8 | 1.6 | 1.0 | N/A | 1.5 | N/A | 4.6
Tüsiar | N/A | 2022-12-25 | 2022-12-28 | N | 3453 | N/A | 0.1 | 37.2 | 23.5 | 7.9 | 9.9 | 11.2 | 1.2 | 1.4 | 1.7 | 2.0 | 0.6 | 0.5 | 1.1 | N/A | 1.8
Yöneylem | N/A | 2022-12-22 | 2022-12-27 | N | 2400 | N/A | 0.1 | 32.1 | 25.5 | 8.1 | 9.7 | 13.5 | 0.6 | 1.5 | N/A | 1.9 | 1.0 | 2.0 | 2.7 | N/A | 1.4
ALF | N/A | 2022-12-20 | 2022-12-25 | N | 2750 | N/A | 0.1 | 30.5 | 27.3 | 7.1 | 9.1 | 14.4 | N/A | 2.3 | 3.0 | 1.0 | N/A | N/A | 2.0 | N/A | 3.3
AREA | N/A | 2022-12-20 | 2022-12-25 | N | 2004 | N/A | 0.1 | 32.7 | 26.4 | 7.0 | 10.0 | 14.0 | 0.5 | 3.1 | 0.5 | 1.4 | N/A | N/A | 2.7 | N/A | 1.7
Artıbir | N/A | 2022-12-14 | 2022-12-24 | N | 1500 | N/A | 0.1 | 30.6 | 28.1 | 6.1 | 11.9 | 14.3 | 1.1 | 4.6 | 1.2 | 0.2 | 0.2 | N/A | 0.7 | N/A | 1.0
ORC | N/A | 2022-12-19 | 2022-12-22 | N | 4220 | N/A | 0.1 | 31.2 | 24.2 | 7.1 | 7.5 | 17.5 | N/A | 2.3 | 2.4 | 1.2 | N/A | N/A | 1.7 | N/A | 4.9
PİAR | N/A | 2022-12-15 | 2022-12-18 | N | 2618 | N/A | 0.1 | 29.8 | 26.7 | 9.1 | 9.8 | 10.3 | N/A | 2.3 | 3.8 | N/A | N/A | N/A | 3.0 | N/A | 5.2
MetroPOLL | N/A | 2022-12-13 | 2022-12-18 | N | 2077 | N/A | 0.1 | 36.9 | 24.7 | 7.3 | 11.2 | 12.5 | N/A | N/A | N/A | 1.3 | N/A | N/A | 2.0 | N/A | 4.2
G. Akademi | N/A | 2022-11-03 | 2022-12-12 | N | 1000 | N/A | 0.1 | 39.0 | 27.1 | 9.8 | 10.5 | 11.3 | 0.9 | 0.2 | 0.2 | N/A | 0.1 | N/A | N/A | N/A | 1.0
Artıbir | N/A | 2022-11-21 | 2022-11-30 | N | 1500 | N/A | 0.1 | 29.3 | 26.9 | 5.2 | 11.4 | 14.2 | 1.2 | 4.6 | 1.3 | 0.3 | 0.3 | N/A | 0.8 | N/A | 4.6
Aksoy | N/A | 2022-11-24 | 2022-11-29 | N | 1537 | N/A | 0.1 | 32.9 | 28.7 | 7.8 | 11.0 | 13.9 | 0.6 | 0.7 | 0.7 | N/A | N/A | N/A | N/A | N/A | 3.7
Yöneylem | N/A | 2022-11-23 | 2022-11-27 | N | 2400 | N/A | 0.1 | 32.8 | 26.3 | 7.2 | 10.1 | 13.9 | 0.8 | 1.6 | N/A | 1.7 | 0.7 | 1.4 | 2.3 | N/A | 1.1
AREA | N/A | 2022-11-20 | 2022-11-25 | N | 2005 | N/A | 0.1 | 34.4 | 25.8 | 7.0 | 11.6 | 14.6 | 1.0 | 3.0 | 1.0 | N/A | N/A | N/A | 1.0 | N/A | 0.7
ASAL | N/A | 2022-11-15 | 2022-11-24 | N | 2500 | N/A | 0.1 | 37.7 | 24.4 | 8.7 | 10.4 | 11.2 | 0.8 | 1.2 | 0.8 | 1.4 | 0.6 | N/A | 1.0 | N/A | 1.8
ORC | N/A | 2022-11-18 | 2022-11-23 | N | 4280 | N/A | 0.1 | 31.1 | 24.2 | 6.8 | 7.4 | 17.8 | N/A | 2.3 | 2.7 | 1.5 | N/A | N/A | N/A | N/A | 6.2
MetroPOLL | N/A | 2022-11-15 | 2022-11-20 | N | 2122 | N/A | 0.1 | 36.5 | 24.7 | 8.2 | 12.7 | 11.2 | 1.2 | N/A | N/A | 1.2 | N/A | N/A | N/A | N/A | 4.3
ALF | N/A | 2022-11-14 | 2022-11-17 | N | 2150 | N/A | 0.1 | 29.4 | 28.1 | 6.7 | 8.3 | 13.3 | N/A | 2.4 | 2.2 | 1.0 | 1.2 | N/A | 2.5 | N/A | 4.9
MAK | N/A | 2022-11-01 | 2022-11-08 | N | 5750 | N/A | 0.1 | 33.5 | 25.3 | 6.8 | 7.8 | 16.2 | 0.6 | 2.5 | 1.3 | 1.3 | 0.2 | N/A | 1.2 | N/A | 3.3
AKAM | Avr. & 23 Der. | 2022-10-29 | 2022-11-06 | N | 2560 | N/A | 0.1 | 30.0 | 30.6 | 6.8 | 11.3 | 13.3 | N/A | 3.4 | N/A | 1.2 | N/A | N/A | 1.8 | N/A | 1.6
ORC | N/A | 2022-11-01 | 2022-11-04 | N | 3420 | N/A | 0.1 | 30.4 | 24.0 | 6.5 | 7.2 | 17.6 | N/A | 2.5 | 2.6 | 1.1 | 1.2 | N/A | N/A | N/A | 6.9
AREA | N/A | 2022-10-01 | 2022-10-31 | N | 2376 | N/A | 0.1 | 33.2 | 24.8 | 8.7 | 10.3 | 16.0 | 1.0 | 2.1 | 1.0 | 1.0 | N/A | N/A | 1.4 | N/A | 0.5
Aksoy | N/A | 2022-10-01 | 2022-10-31 | N | 1537 | N/A | 0.1 | 31.7 | 28.1 | 7.8 | 11.2 | 13.3 | 1.3 | 1.4 | 0.3 | N/A | N/A | N/A | N/A | N/A | 4.9
Yöneylem | N/A | 2022-10-24 | 2022-10-28 | N | 2400 | N/A | 0.1 | 32.4 | 29.1 | 5.8 | 10.1 | 12.4 | 0.8 | 1.6 | 0.4 | 2.0 | 0.6 | 1.3 | 2.4 | N/A | 1.1
ALF | N/A | 2022-10-20 | 2022-10-24 | N | 4100 | N/A | 0.1 | 28.2 | 28.4 | 6.2 | 9.1 | 14.5 | N/A | 2.0 | 2.1 | 1.0 | 1.7 | N/A | 2.3 | N/A | 4.5
MetroPOLL | N/A | 2022-10-15 | 2022-10-18 | N | 2119 | N/A | 0.1 | 36.3 | 23.2 | 10.0 | 11.9 | 12.4 | 1.4 | 1.4 | N/A | N/A | N/A | N/A | 0.7 | N/A | 2.8
Artıbir | N/A | 2022-10-10 | 2022-10-18 | N | 1500 | N/A | 0.1 | 30.2 | 27.9 | 6.9 | 10.8 | 14.8 | 1.2 | 4.2 | 1.7 | 0.6 | 0.5 | N/A | 1.2 | N/A | 0.0
MAK | N/A | 2022-10-05 | 2022-10-15 | N | 5750 | N/A | 0.1 | 32.7 | 26.0 | 7.2 | 7.7 | 15.8 | 0.9 | 2.1 | 1.3 | 1.1 | 0.2 | N/A | 1.6 | N/A | 3.4
ASAL | N/A | 2022-10-05 | 2022-10-14 | N | 2312 | N/A | 0.1 | 38.4 | 23.5 | 9.1 | 10.7 | 11.0 | 0.9 | 1.4 | 0.9 | 1.1 | 0.7 | N/A | 1.5 | N/A | 0.8
PİAR | N/A | 2022-10-10 | 2022-10-13 | N | 2524 | N/A | 0.1 | 28.6 | 28.1 | 8.6 | 9.8 | 11.7 | 0.9 | 1.5 | 2.9 | 1.6 | N/A | 0.9 | 2.7 | N/A | 2.7
ORC | N/A | 2022-10-07 | 2022-10-10 | N | 3680 | N/A | 0.1 | 30.2 | 24.5 | 6.3 | 7.3 | 18.7 | N/A | 2.4 | 3.5 | N/A | N/A | N/A | N/A | N/A | 7.1
Tüsiar | N/A | 2022-10-01 | 2022-10-03 | N | 5542 | N/A | 0.1 | 36.3 | 24.1 | 7.1 | 10.1 | 11.1 | 1.1 | 2.2 | 1.7 | 1.9 | 1.0 | 0.9 | 1.2 | N/A | 1.3
ALF | N/A | 2022-10-01 | 2022-10-03 | N | 2560 | N/A | 0.1 | 28.6 | 29.1 | 6.0 | 8.3 | 14.1 | 1.0 | 2.2 | 2.0 | N/A | 1.4 | N/A | 2.5 | N/A | 4.8
Saros | N/A | 2022-09-01 | 2022-09-30 | N | 2025 | N/A | 0.1 | 32.4 | 26.2 | 7.4 | 13.1 | 12.5 | 0.7 | 3.0 | 0.8 | 1.0 | 0.5 | N/A | 1.9 | N/A | 0.5
