Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | AKP | CHP | MHP | HDP | İYİ | SP | DEVA | GP | YRP | MP | TİP | ZP | DEM | Other
AREA | N/A | 2021-12-13 | 2021-12-20 | N | 2204 | N/A | 0.1 | 30.5 | 27.2 | 9.0 | 10.0 | 15.8 | N/A | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
AKAM | Avr. & 23 Der. | 2021-12-14 | 2021-12-15 | N | 1260 | N/A | 0.1 | 28.4 | 29.4 | 6.8 | 11.0 | 12.6 | 1.4 | 5.8 | 2.4 | N/A | N/A | N/A | N/A | N/A | 2.2
MetroPOLL | N/A | 2021-12-11 | 2021-12-15 | N | 1514 | N/A | 0.1 | 32.3 | 27.4 | 5.3 | 11.9 | 14.2 | 1.5 | 2.6 | 1.1 | N/A | 1.6 | N/A | N/A | N/A | 2.3
ORC | N/A | 2021-12-03 | 2021-12-09 | N | 3920 | N/A | 0.1 | 30.3 | 25.5 | 8.8 | 8.1 | 15.9 | 1.4 | 3.3 | 3.0 | N/A | 1.0 | N/A | N/A | N/A | 2.7
AKAM | Avr. & 23 Der. | 2021-11-27 | 2021-12-03 | N | 1260 | N/A | 0.1 | 27.6 | 30.4 | 6.5 | 11.0 | 12.9 | 1.3 | 6.0 | 2.6 | N/A | N/A | N/A | N/A | N/A | 1.7
AREA | N/A | 2021-11-26 | 2021-11-30 | N | 1514 | N/A | 0.1 | 30.0 | 28.2 | 9.1 | 10.0 | 14.0 | N/A | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | 4.4
TEAM | N/A | 2021-11-01 | 2021-11-30 | N | 2986 | N/A | 0.1 | 34.6 | 28.2 | 9.3 | 11.1 | 12.0 | N/A | 1.6 | 0.9 | N/A | N/A | N/A | N/A | N/A | 2.3
Aksoy | N/A | 2021-11-01 | 2021-11-30 | N | 1067 | N/A | 0.1 | 30.8 | 28.9 | 8.4 | 9.8 | 13.8 | 1.2 | 2.5 | 1.1 | N/A | N/A | N/A | N/A | N/A | 3.6
MetroPOLL | N/A | 2021-11-01 | 2021-11-30 | N | N/A | N/A | 0.1 | 34.3 | 22.6 | 6.6 | 12.8 | 14.9 | 1.5 | 2.9 | N/A | N/A | 2.0 | N/A | N/A | N/A | 2.5
MAK | N/A | 2021-11-12 | 2021-11-18 | N | 5750 | N/A | 0.1 | 31.4 | 24.5 | 8.0 | 9.6 | 14.9 | 1.4 | 2.6 | 2.6 | 0.9 | 0.8 | N/A | N/A | N/A | 3.3
AKAM | Avr. & 23 Der. | 2021-11-11 | 2021-11-17 | N | 1260 | N/A | 0.1 | 28.4 | 30.1 | 7.3 | 10.3 | 11.9 | 1.2 | 5.9 | 2.6 | N/A | 0.5 | 0.7 | N/A | N/A | 1.1
PİAR | N/A | 2021-11-01 | 2021-11-13 | N | 2520 | N/A | 0.1 | 30.6 | 26.6 | 8.7 | 11.5 | 12.4 | 1.3 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
İEA | N/A | 2021-11-03 | 2021-11-06 | N | 1510 | N/A | 0.1 | 29.9 | 26.6 | 7.5 | 12.2 | 16.7 | 1.1 | 2.4 | 1.2 | N/A | N/A | N/A | N/A | N/A | 2.4
Yöneylem | N/A | 2021-10-27 | 2021-11-03 | N | 2000 | N/A | 0.1 | 31.9 | 30.4 | 6.4 | 10.6 | 13.1 | 0.8 | 1.2 | 0.7 | 1.1 | N/A | 0.7 | N/A | N/A | 3.2
AREA | N/A | 2021-10-28 | 2021-10-31 | N | 1580 | N/A | 0.1 | 34.7 | 27.7 | 8.7 | 8.8 | 12.7 | N/A | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Aksoy | N/A | 2021-10-01 | 2021-10-30 | N | 1067 | N/A | 0.1 | 30.7 | 28.3 | 8.7 | 9.7 | 14.1 | 0.8 | 2.6 | 1.1 | N/A | N/A | N/A | N/A | N/A | 4.0
AKAM | Avr. & 23 Der. | 2021-10-23 | 2021-10-28 | N | 2460 | N/A | 0.1 | 28.6 | 28.5 | 7.0 | 10.0 | 13.2 | 1.3 | 5.7 | 3.0 | N/A | 0.5 | 1.0 | N/A | N/A | 1.2
ORC | N/A | 2021-10-24 | 2021-10-27 | N | 2850 | N/A | 0.1 | 31.3 | 26.0 | 9.8 | 8.0 | 14.1 | 1.1 | 5.1 | 2.4 | N/A | N/A | N/A | N/A | N/A | 2.2
MOTTO & Bulgu | N/A | 2021-10-01 | 2021-10-27 | N | 1808 | N/A | 0.1 | 32.4 | 27.9 | 8.4 | 8.3 | 13.8 | 1.4 | 2.8 | 1.4 | 1.6 | 0.5 | N/A | 0.2 | N/A | 1.3
Artıbir | N/A | 2021-10-01 | 2021-10-27 | N | 1500 | N/A | 0.1 | 30.5 | 27.3 | 7.3 | 11.4 | 15.6 | 1.4 | 3.7 | 1.9 | N/A | N/A | N/A | N/A | N/A | 0.8
İEA | N/A | 2021-10-01 | 2021-10-22 | N | 1500 | N/A | 0.1 | 32.7 | 24.3 | 7.4 | 12.5 | 16.4 | 1.1 | 2.6 | 1.7 | N/A | N/A | N/A | N/A | N/A | 1.4
MAK | N/A | 2021-10-11 | 2021-10-21 | N | 5750 | N/A | 0.1 | 32.0 | 23.5 | 8.0 | 9.0 | 14.7 | 1.4 | 2.7 | 2.6 | N/A | 1.0 | N/A | N/A | N/A | 5.1
MetroPOLL | N/A | 2021-10-13 | 2021-10-17 | N | 1568 | N/A | 0.1 | 32.6 | 25.2 | 7.4 | 11.8 | 14.3 | 1.7 | 2.7 | N/A | N/A | 1.6 | N/A | N/A | N/A | 2.9
AKAM | Avr. & 23 Der. | 2021-10-09 | 2021-10-14 | N | N/A | N/A | 0.1 | 28.9 | 28.7 | 6.6 | 10.6 | 13.5 | 1.3 | 5.5 | 2.7 | N/A | N/A | N/A | N/A | N/A | 2.2
Aksoy | N/A | 2021-10-04 | 2021-10-10 | N | 1067 | N/A | 0.1 | 30.8 | 28.2 | 8.6 | 10.0 | 13.8 | 0.6 | 2.9 | 1.1 | N/A | N/A | N/A | N/A | N/A | 4.0
ORC | N/A | 2021-10-01 | 2021-10-05 | N | N/A | N/A | 0.1 | 31.9 | 25.9 | 9.4 | 8.1 | 13.1 | N/A | 4.7 | 2.9 | N/A | N/A | N/A | N/A | N/A | 4.0
AREA | N/A | 2021-09-27 | 2021-09-30 | N | 2474 | N/A | 0.1 | 32.0 | 24.1 | 10.1 | 11.1 | 13.0 | 2.1 | 2.2 | 2.1 | N/A | 1.2 | N/A | N/A | N/A | 2.1
Yöneylem | N/A | 2021-09-24 | 2021-09-30 | N | 2400 | N/A | 0.1 | 33.5 | 26.3 | 8.7 | 10.1 | 13.6 | 1.4 | 1.7 | 0.6 | 1.3 | N/A | 1.0 | N/A | N/A | 1.7
AKAM | Avr. & 23 Der. | 2021-09-01 | 2021-09-30 | N | 2460 | N/A | 0.1 | 28.2 | 27.3 | 7.1 | 10.3 | 13.9 | 1.2 | 5.3 | 2.5 | N/A | 1.0 | 1.1 | N/A | N/A | 2.1
KONDA | N/A | 2021-09-01 | 2021-09-30 | N | N/A | N/A | 0.1 | 32.7 | 24.8 | 8.9 | 11.7 | 19.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Artıbir | N/A | 2021-09-17 | 2021-09-27 | N | 1500 | N/A | 0.1 | 30.7 | 26.8 | 7.4 | 11.6 | 15.4 | 1.5 | 3.9 | 1.8 | N/A | N/A | N/A | N/A | N/A | 0.9
MAK | N/A | 2021-09-01 | 2021-09-27 | N | 5700 | N/A | 0.1 | 33.7 | 23.7 | 7.7 | 7.9 | 14.5 | 1.4 | 2.8 | 2.8 | 0.9 | 0.8 | N/A | N/A | N/A | 3.6
MetroPOLL | N/A | 2021-09-20 | 2021-09-26 | N | 1638 | N/A | 0.1 | 31.7 | 25.8 | 10.0 | 11.0 | 14.3 | N/A | 2.6 | N/A | N/A | 1.7 | N/A | N/A | N/A | 3.0
PİAR | N/A | 2021-09-01 | 2021-09-24 | N | 2405 | N/A | 0.1 | 33.2 | 23.7 | 9.4 | 10.9 | 14.1 | 1.1 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
S. Politik | N/A | 2021-09-10 | 2021-09-22 | N | 2000 | N/A | 0.1 | 32.3 | 30.9 | 7.8 | 11.3 | 12.1 | 0.8 | 1.8 | 1.1 | N/A | N/A | N/A | N/A | N/A | 1.9
İEA | N/A | 2021-09-07 | 2021-09-13 | N | 1500 | N/A | 0.1 | 29.9 | 25.7 | 9.4 | 11.7 | 15.3 | 1.1 | 2.7 | 1.9 | N/A | N/A | N/A | N/A | N/A | 2.2
ORC | N/A | 2021-09-01 | 2021-09-05 | N | 4180 | N/A | 0.1 | 32.1 | 25.3 | 9.7 | 7.9 | 12.7 | 1.2 | 4.5 | 2.5 | N/A | 1.6 | N/A | N/A | N/A | 2.5
Yöneylem | N/A | 2021-08-01 | 2021-08-31 | N | 3040 | N/A | 0.1 | 31.5 | 27.1 | 8.2 | 10.3 | 14.7 | 1.1 | 1.7 | 0.6 | 0.6 | 0.6 | N/A | N/A | N/A | 3.6
AKAM | N/A | 2021-08-21 | 2021-08-28 | N | 2460 | N/A | 0.1 | 28.3 | 26.6 | 7.1 | 9.6 | 14.1 | 1.3 | 5.8 | 2.7 | N/A | 1.3 | 1.0 | N/A | N/A | 2.2
MetroPOLL | N/A | 2021-08-19 | 2021-08-23 | N | 1717 | N/A | 0.1 | 32.2 | 23.4 | 11.3 | 12.4 | 14.6 | 1.5 | 0.9 | N/A | N/A | 1.3 | N/A | N/A | N/A | 2.4
AREA | N/A | 2021-08-01 | 2021-08-23 | N | N/A | N/A | 0.1 | 33.4 | 24.9 | 9.1 | 10.9 | 15.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.4
AKAM | N/A | 2021-08-01 | 2021-08-17 | N | N/A | N/A | 0.1 | 30.3 | 28.3 | 7.2 | 9.9 | 13.9 | 1.5 | 4.5 | 2.0 | N/A | N/A | N/A | N/A | N/A | 2.4
MAK | N/A | 2021-08-05 | 2021-08-14 | N | 5700 | N/A | 0.1 | 33.9 | 22.7 | 7.7 | 8.4 | 14.7 | 1.6 | 2.7 | 2.9 | N/A | N/A | N/A | N/A | N/A | 5.4
İEA | N/A | 2021-08-01 | 2021-08-12 | N | N/A | N/A | 0.1 | 32.4 | 23.8 | 8.2 | 12.0 | 16.3 | 1.1 | 2.8 | 2.1 | N/A | N/A | N/A | N/A | N/A | 1.3
ALF | N/A | 2021-07-29 | 2021-08-04 | N | 5875 | N/A | 0.1 | 32.7 | 26.2 | 8.8 | 9.4 | 13.1 | 1.4 | 2.5 | 3.1 | N/A | N/A | N/A | N/A | N/A | 2.8
Aksoy | N/A | 2021-07-29 | 2021-08-03 | N | 1067 | N/A | 0.1 | 30.6 | 28.7 | 8.0 | 9.3 | 13.3 | 0.8 | 2.6 | 1.7 | N/A | N/A | N/A | N/A | N/A | 5.0
Yöneylem | N/A | 2021-07-26 | 2021-07-30 | N | 3040 | N/A | 0.1 | 34.6 | 28.4 | 6.9 | 9.2 | 14.3 | 0.8 | 1.4 | 0.4 | N/A | 0.4 | 0.7 | N/A | N/A | 2.7
AKAM | N/A | 2021-07-24 | 2021-07-29 | N | 2460 | N/A | 0.1 | 29.1 | 25.6 | 7.3 | 10.9 | 14.2 | 1.3 | 4.5 | 2.3 | N/A | 1.1 | 1.0 | N/A | N/A | 2.7
Aksoy | N/A | 2021-07-24 | 2021-07-29 | N | 1067 | N/A | 0.1 | 32.2 | 27.7 | 8.1 | 10.0 | 13.9 | 1.3 | 2.8 | 1.2 | N/A | N/A | N/A | N/A | N/A | 2.8
ORC | N/A | 2021-07-13 | 2021-07-18 | N | 4520 | N/A | 0.1 | 33.4 | 25.0 | 9.8 | 8.0 | 12.5 | 1.3 | 2.2 | 2.9 | 0.8 | 1.5 | N/A | N/A | N/A | 2.6
AREA | N/A | 2021-07-01 | 2021-07-18 | N | N/A | N/A | 0.1 | 35.2 | 23.7 | 10.0 | 10.1 | 14.4 | N/A | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
İEA | N/A | 2021-07-08 | 2021-07-12 | N | 1503 | N/A | 0.1 | 35.5 | 23.2 | 7.5 | 11.4 | 16.8 | 0.9 | 2.3 | 1.0 | N/A | N/A | N/A | N/A | N/A | 1.4
MetroPOLL | N/A | 2021-06-01 | 2021-06-30 | N | N/A | N/A | 0.1 | 38.4 | 24.3 | 6.8 | 10.6 | 13.5 | 2.0 | 1.6 | 0.9 | N/A | N/A | N/A | N/A | N/A | 1.9
TEAM | N/A | 2021-06-01 | 2021-06-30 | N | N/A | N/A | 0.1 | 37.6 | 27.4 | 8.1 | 12.2 | 11.4 | N/A | 1.5 | 0.8 | N/A | N/A | N/A | N/A | N/A | 1.1
Yöneylem | N/A | 2021-06-25 | 2021-06-29 | N | 3848 | N/A | 0.1 | 35.4 | 26.1 | 8.9 | 9.9 | 13.2 | 1.0 | 1.4 | 0.5 | N/A | 0.7 | N/A | N/A | N/A | 2.9
Artıbir | N/A | 2021-06-21 | 2021-06-29 | N | 1500 | N/A | 0.1 | 31.4 | 27.5 | 7.4 | 12.7 | 14.1 | 1.0 | 3.0 | 1.8 | N/A | 0.2 | 0.2 | N/A | N/A | 0.5
AKAM | N/A | 2021-06-23 | 2021-06-28 | N | 2460 | N/A | 0.1 | 29.4 | 26.9 | 7.1 | 11.1 | 15.0 | 1.4 | 4.5 | 2.0 | 0.1 | 0.8 | N/A | N/A | N/A | 1.7
S. Politik | N/A | 2021-06-21 | 2021-06-28 | N | 1008 | N/A | 0.1 | 32.1 | 29.6 | 7.1 | 12.7 | 13.8 | 0.2 | 3.2 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A
MetroPOLL | N/A | 2021-06-19 | 2021-06-23 | N | 1740 | N/A | 0.1 | 37.1 | 24.1 | 9.2 | 12.3 | 12.9 | 1.5 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Aksoy | N/A | 2021-06-14 | 2021-06-20 | N | 1067 | N/A | 0.1 | 31.6 | 27.5 | 8.2 | 9.6 | 13.6 | 1.0 | 2.9 | 2.0 | N/A | N/A | N/A | N/A | N/A | 3.7
ORC | N/A | 2021-06-08 | 2021-06-14 | N | 4520 | N/A | 0.1 | 33.9 | 25.3 | 10.4 | 8.1 | 12.0 | 1.4 | 2.1 | 1.6 | 0.7 | 1.6 | N/A | N/A | N/A | 2.9
Remres | N/A | 2021-06-08 | 2021-06-14 | N | 2853 | N/A | 0.1 | 34.0 | 22.9 | 9.9 | 9.6 | 13.8 | 1.9 | 2.7 | 1.7 | N/A | 2.5 | N/A | N/A | N/A | 1.0
AKAM | N/A | 2021-06-08 | 2021-06-13 | N | 2460 | N/A | 0.1 | 29.5 | 26.9 | 8.3 | 11.0 | 14.7 | 1.2 | 4.1 | 1.5 | 0.2 | 0.9 | 0.6 | N/A | N/A | 1.0
İEA | N/A | 2021-06-06 | 2021-06-09 | N | 1500 | N/A | 0.1 | 34.4 | 22.3 | 9.5 | 12.7 | 16.2 | 0.8 | 2.2 | 0.9 | N/A | N/A | N/A | N/A | N/A | 1.0
AREA | N/A | 2021-06-02 | 2021-06-07 | N | 2402 | N/A | 0.1 | 35.1 | 23.1 | 10.1 | 10.1 | 14.1 | 1.0 | 2.5 | 1.0 | N/A | 1.7 | N/A | N/A | N/A | 1.3
MAK | N/A | 2021-05-01 | 2021-05-31 | N | 2850 | N/A | 0.1 | 34.3 | 23.0 | 8.4 | 9.2 | 13.6 | 1.8 | 2.2 | 2.8 | 0.6 | N/A | N/A | N/A | N/A | 4.1
Aksoy | N/A | 2021-05-24 | 2021-05-30 | N | 1067 | N/A | 0.1 | 32.3 | 26.3 | 9.1 | 9.9 | 13.0 | 1.7 | 2.5 | 1.3 | N/A | N/A | N/A | N/A | N/A | 3.9
PİAR | N/A | 2021-05-24 | 2021-05-29 | N | 2411 | N/A | 0.1 | 34.8 | 22.7 | 10.2 | 10.7 | 14.8 | 1.2 | 2.2 | 1.2 | N/A | 1.5 | N/A | N/A | N/A | 0.7
AKAM | N/A | 2021-05-23 | 2021-05-28 | N | 2480 | N/A | 0.1 | 31.5 | 26.2 | 7.9 | 11.9 | 13.1 | 1.3 | 2.5 | 2.1 | N/A | 1.6 | N/A | N/A | N/A | 1.9
Yöneylem | N/A | 2021-05-21 | 2021-05-25 | N | 3140 | N/A | 0.1 | 36.0 | 26.7 | 7.8 | 10.2 | 13.5 | 0.6 | 1.4 | 0.5 | N/A | N/A | N/A | N/A | N/A | 3.2
İEA | N/A | 2021-05-01 | 2021-05-12 | N | N/A | N/A | 0.1 | 33.9 | 22.5 | 8.6 | 11.9 | 15.8 | 0.9 | 3.0 | 1.1 | N/A | N/A | N/A | N/A | N/A | 2.2
Aksoy | N/A | 2021-04-26 | 2021-05-02 | N | 1067 | N/A | 0.1 | 32.7 | 26.1 | 10.2 | 10.1 | 12.6 | 1.3 | 2.4 | 1.9 | N/A | N/A | N/A | N/A | N/A | 2.7
Yöneylem | N/A | 2021-04-01 | 2021-04-30 | N | 3605 | N/A | 0.1 | 37.7 | 24.8 | 7.8 | 10.4 | 12.9 | 1.1 | 1.5 | 0.6 | N/A | N/A | N/A | N/A | N/A | 3.5
MetroPOLL | N/A | 2021-04-01 | 2021-04-30 | N | N/A | N/A | 0.1 | 34.1 | 23.0 | 11.0 | 10.6 | 13.5 | 2.0 | 2.8 | 1.8 | N/A | N/A | N/A | N/A | N/A | 1.3
AREA | N/A | 2021-04-24 | 2021-04-28 | N | 2234 | N/A | 0.1 | 34.4 | 25.3 | 8.8 | 10.3 | 14.6 | 1.0 | 3.1 | 1.0 | N/A | N/A | N/A | N/A | N/A | 1.5
Objektif | N/A | 2021-04-01 | 2021-04-22 | N | N/A | N/A | 0.1 | 33.7 | 26.0 | 7.2 | 10.7 | 13.6 | 1.3 | 2.9 | 3.0 | N/A | N/A | N/A | N/A | N/A | 1.6
AKAM | N/A | 2021-04-11 | 2021-04-14 | N | 1460 | N/A | 0.1 | 32.0 | 26.8 | 7.5 | 11.3 | 13.6 | 1.3 | 3.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | 1.5
AKAM | N/A | 2021-04-11 | 2021-04-14 | N | 1460 | N/A | 0.1 | 32.5 | 27.3 | 7.6 | 10.1 | 13.1 | 1.8 | 3.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | 1.6
İEA | N/A | 2021-04-01 | 2021-04-13 | N | N/A | N/A | 0.1 | 36.1 | 23.3 | 8.6 | 11.3 | 15.3 | 0.7 | 2.7 | 1.1 | N/A | N/A | N/A | N/A | N/A | 0.9
AKAM | N/A | 2021-03-26 | 2021-03-31 | N | 2460 | N/A | 0.1 | 33.2 | 26.8 | 6.9 | 9.7 | 13.8 | 1.3 | 2.9 | 3.1 | N/A | N/A | N/A | N/A | N/A | 2.3
Yöneylem | N/A | 2021-03-01 | 2021-03-31 | N | 4300 | N/A | 0.1 | 38.7 | 23.2 | 8.7 | 10.7 | 12.7 | 0.8 | 1.9 | 0.6 | N/A | N/A | N/A | N/A | N/A | 2.9
Saros | N/A | 2021-03-01 | 2021-03-31 | N | 3042 | N/A | 0.1 | 37.2 | 20.6 | 10.3 | 12.9 | 9.4 | 1.2 | 3.6 | 2.5 | N/A | 1.5 | N/A | N/A | N/A | 0.8
AREA | N/A | 2021-03-27 | 2021-03-29 | N | 2228 | N/A | 0.1 | 35.1 | 24.0 | 9.4 | 12.0 | 14.0 | 1.9 | 1.6 | 1.2 | N/A | N/A | N/A | N/A | N/A | 0.7
MetroPOLL | N/A | 2021-03-22 | 2021-03-25 | N | 1637 | N/A | 0.1 | 38.2 | 23.3 | 9.5 | 11.1 | 12.1 | 1.2 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Optimar | N/A | 2021-03-01 | 2021-03-24 | N | N/A | N/A | 0.1 | 38.4 | 24.4 | 10.5 | 11.5 | 10.3 | 0.7 | 1.3 | 0.3 | 0.3 | N/A | N/A | N/A | N/A | 2.3
AKAM | N/A | 2021-03-07 | 2021-03-12 | N | 1480 | N/A | 0.1 | 33.9 | 25.8 | 7.1 | 9.5 | 13.7 | 0.8 | 2.7 | 2.8 | 0.2 | 1.5 | 0.3 | N/A | N/A | 1.9
İEA | N/A | 2021-03-01 | 2021-03-11 | N | N/A | N/A | 0.1 | 35.4 | 22.0 | 8.3 | 11.3 | 16.5 | 1.2 | 2.9 | 1.2 | N/A | N/A | N/A | N/A | N/A | 1.4
Yöneylem | N/A | 2021-02-01 | 2021-02-28 | N | 4060 | N/A | 0.1 | 40.2 | 25.1 | 9.0 | 9.7 | 10.5 | 1.1 | 1.6 | 0.4 | N/A | N/A | N/A | N/A | N/A | 2.3
Aksoy | N/A | 2021-02-01 | 2021-02-28 | N | 2400 | N/A | 0.1 | 36.0 | 26.3 | 9.9 | 8.7 | 13.5 | 1.1 | 2.1 | 1.9 | N/A | N/A | N/A | N/A | N/A | 0.5
MetroPOLL | N/A | 2021-02-01 | 2021-02-28 | N | N/A | N/A | 0.1 | 39.3 | 22.1 | 9.1 | 11.3 | 12.1 | 1.1 | 1.9 | N/A | N/A | 1.1 | N/A | N/A | N/A | 1.5
AKAM | N/A | 2021-02-18 | 2021-02-25 | N | 2184 | N/A | 0.1 | 34.3 | 25.8 | 6.9 | 9.0 | 12.9 | 0.7 | 2.5 | 2.7 | 0.4 | 1.5 | N/A | N/A | N/A | 3.4
AREA | N/A | 2021-02-18 | 2021-02-24 | N | 2000 | N/A | 0.1 | 36.1 | 24.1 | 10.0 | 10.1 | 14.0 | 1.3 | 1.6 | 1.4 | N/A | N/A | N/A | N/A | N/A | 1.4
ORC | N/A | 2021-02-17 | 2021-02-19 | N | 3165 | N/A | 0.1 | 36.8 | 22.3 | 11.6 | 8.2 | 10.8 | 1.3 | 2.1 | 2.6 | N/A | N/A | N/A | N/A | N/A | 4.3
İEA | N/A | 2021-02-01 | 2021-02-12 | N | N/A | N/A | 0.1 | 35.2 | 21.1 | 9.6 | 10.6 | 15.6 | 1.0 | 3.8 | 1.7 | N/A | N/A | N/A | N/A | N/A | 1.4
AKAM | N/A | 2021-02-02 | 2021-02-10 | N | 1160 | N/A | 0.1 | 34.1 | 27.3 | 7.5 | 10.1 | 14.0 | 1.4 | 2.4 | 2.7 | N/A | N/A | N/A | N/A | N/A | 0.5
Optimar | N/A | 2021-02-01 | 2021-02-07 | N | N/A | N/A | 0.1 | 40.5 | 22.6 | 10.8 | 10.6 | 10.0 | 1.0 | 1.6 | 0.5 | N/A | N/A | N/A | N/A | N/A | 2.4
Areda Survey | N/A | 2021-02-02 | 2021-02-04 | N | 2486 | N/A | 0.1 | 41.7 | 21.8 | 11.6 | 9.3 | 10.3 | 0.8 | 1.8 | 0.4 | N/A | N/A | N/A | N/A | N/A | 2.4
SONAR | N/A | 2021-01-10 | 2021-02-04 | N | 3200 | N/A | 0.1 | 39.3 | 22.6 | 10.5 | 10.2 | 13.1 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Aksoy | N/A | 2021-01-01 | 2021-01-31 | N | 2400 | N/A | 0.1 | 35.2 | 26.5 | 9.0 | 9.9 | 12.9 | 1.5 | 2.5 | 1.0 | N/A | N/A | N/A | N/A | N/A | 1.4
MetroPOLL | N/A | 2021-01-01 | 2021-01-31 | N | N/A | N/A | 0.1 | 37.2 | 26.0 | 8.5 | 9.8 | 12.3 | 2.2 | 1.4 | 1.1 | N/A | N/A | N/A | N/A | N/A | 1.5
Saros | N/A | 2021-01-01 | 2021-01-31 | N | N/A | N/A | 0.1 | 37.6 | 20.9 | 10.6 | 12.7 | 9.9 | 1.2 | 1.9 | 1.6 | 0.2 | 2.0 | N/A | N/A | N/A | 1.3
Yöneylem | N/A | 2021-01-01 | 2021-01-31 | N | N/A | N/A | 0.1 | 38.3 | 26.0 | 10.1 | 10.3 | 11.2 | 0.8 | 1.4 | 0.4 | N/A | N/A | N/A | N/A | N/A | 1.5
ADA | N/A | 2021-01-01 | 2021-01-29 | N | N/A | N/A | 0.1 | 38.7 | 19.8 | 9.6 | 9.5 | 11.5 | 1.2 | 2.5 | 1.8 | N/A | 2.7 | N/A | N/A | N/A | 2.7
Optimar | N/A | 2021-01-01 | 2021-01-28 | N | 2089 | N/A | 0.1 | 40.5 | 22.6 | 10.8 | 10.6 | 10.0 | 1.0 | 1.6 | 0.5 | 0.3 | N/A | N/A | N/A | N/A | 2.1
AKAM | N/A | 2021-01-21 | 2021-01-27 | N | 2184 | N/A | 0.1 | 35.6 | 25.3 | 8.1 | 10.5 | 13.4 | 0.8 | 2.9 | 3.0 | N/A | N/A | N/A | N/A | N/A | 0.4
MAK | N/A | 2021-01-14 | 2021-01-26 | N | 2850 | N/A | 0.1 | 35.6 | 24.9 | 8.5 | 8.9 | 13.6 | 1.6 | 2.3 | 2.5 | N/A | N/A | N/A | N/A | N/A | 2.1
Aksoy | N/A | 2022-01-17 | 2021-01-23 | N | 1067 | N/A | 0.1 | 30.1 | 28.9 | 7.9 | 10.6 | 13.6 | 1.0 | 2.7 | 1.3 | N/A | N/A | N/A | N/A | N/A | 3.9
İEA | N/A | 2021-01-01 | 2021-01-18 | N | N/A | N/A | 0.1 | 36.2 | 20.3 | 9.1 | 10.5 | 16.7 | 0.6 | 3.6 | 1.3 | N/A | N/A | N/A | N/A | N/A | 1.7
AKAM | Avr. & 23 Der. | 2022-01-09 | 2021-01-14 | N | 1260 | N/A | 0.1 | 30.6 | 28.6 | 5.8 | 11.0 | 11.3 | 1.1 | 5.6 | 1.5 | N/A | 0.9 | 0.9 | N/A | N/A | 3.0
AKAM | N/A | 2021-01-06 | 2021-01-10 | N | 1460 | N/A | 0.1 | 35.0 | 25.0 | 9.5 | 10.7 | 13.0 | 0.8 | 2.5 | 2.6 | N/A | N/A | N/A | N/A | N/A | 0.8
Artıbir | N/A | 2021-01-04 | 2021-01-09 | N | 1500 | N/A | 0.1 | 34.5 | 26.2 | 8.4 | 11.6 | 11.5 | 1.1 | 4.1 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A
Aksoy | N/A | 2020-12-01 | 2020-12-31 | N | 2400 | N/A | 0.1 | 34.8 | 27.2 | 9.0 | 8.9 | 13.1 | 1.6 | 3.1 | 1.8 | N/A | N/A | N/A | N/A | N/A | 0.5
KONDA | N/A | 2020-12-01 | 2020-12-31 | N | N/A | N/A | 0.1 | 39.8 | 22.2 | 9.8 | 10.7 | 10.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.0
MetroPOLL | N/A | 2020-12-01 | 2020-12-31 | N | N/A | N/A | 0.1 | 38.9 | 25.4 | 7.6 | 11.1 | 11.3 | 0.8 | 2.2 | 1.7 | N/A | N/A | N/A | N/A | N/A | 1.0
İEA | N/A | 2020-12-01 | 2020-12-31 | N | N/A | N/A | 0.1 | 39.7 | 18.7 | 9.0 | 11.3 | 14.0 | 0.7 | 4.2 | 1.1 | N/A | N/A | N/A | N/A | N/A | 1.3
AKAM | N/A | 2020-12-19 | 2020-12-23 | N | 2460 | N/A | 0.1 | 33.3 | 26.6 | 10.0 | 10.5 | 13.5 | 0.6 | 2.5 | 2.8 | N/A | N/A | N/A | N/A | N/A | 0.2
MAK | N/A | 2020-12-14 | 2020-12-18 | N | 2850 | N/A | 0.1 | 37.0 | 24.8 | 8.8 | 9.2 | 12.5 | 1.5 | 2.2 | 2.5 | N/A | N/A | N/A | N/A | N/A | 1.5
