Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | HDZ | SDP | KH | Most | HSS | BM 365 | HNS–LD | IDS–DDI | Centar | NHR | GLAS | AK | HKS | START | NLMK | Hrast | HS | DP | Možemo | HSU | Fokus | SD | RF | OiP | Other
Ipsos | Nova TV | 2023-11-01 | 2023-11-21 | N | 990 | 82 | 0.1 | 36.0 | 15.4 | N/A | 9.9 | 1.3 | N/A | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.6 | 9.6 | 2.0 | N/A | N/A | N/A | 2.9 | 11.5
Promocija Plus | HRT | 2023-11-14 | 2023-11-17 | N | 1100 | 82.3 | 0.1 | 30.6 | 18.7 | 1.2 | 8.5 | 1.6 | N/A | 1.5 | 1.5 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3 | 10.1 | 12.0 | N/A | 1.8 | N/A | 1.8 | 1.2 | 5.7
Promocija Plus | RTL | 2023-11-06 | 2023-11-09 | N | 1300 | 83.3 | 0.1 | 30.4 | 18.2 | N/A | 8.9 | 1.6 | N/A | 1.4 | 1.2 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2 | 10.1 | 13.2 | N/A | 1.7 | 1.3 | 2.0 | N/A | 6.6
Ipsos | Nova TV | 2023-10-01 | 2023-10-22 | N | 993 | 83.4 | 0.1 | 35.7 | 16.1 | N/A | 11.0 | 2.0 | N/A | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.2 | 9.8 | 2.8 | N/A | N/A | N/A | 1.4 | 8.9
Promocija Plus | HRT | 2023-10-17 | 2023-10-19 | N | 1100 | 83.6 | 0.1 | 30.7 | 18.9 | 1.2 | 9.4 | 1.7 | N/A | 1.4 | 1.2 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0 | 8.7 | 13.0 | 0.8 | 1.6 | 0.8 | 2.3 | 1.1 | N/A
Promocija Plus | RTL | 2023-10-02 | 2023-10-05 | N | 1300 | 83.5 | 0.1 | 30.7 | 18.7 | N/A | 9.8 | 1.7 | N/A | 1.3 | 1.1 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1 | 9.0 | 13.7 | 1.0 | 1.2 | 1.4 | 2.2 | N/A | N/A
2x1 Komunikacije | Večernji list | 2023-09-18 | 2023-09-29 | N | 1041 | 82.7 | 0.1 | 29.9 | 17.6 | N/A | 12.5 | 1.4 | N/A | N/A | 2.6 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.6 | 10.2 | 3.7 | 1.6 | 2.2 | 1.6 | N/A | N/A
Ipsos | Nova TV | 2023-09-01 | 2023-09-20 | N | 988 | 83.1 | 0.1 | 36.0 | 14.9 | N/A | 10.7 | 1.4 | N/A | 1.9 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.8 | 10.8 | 1.7 | N/A | N/A | N/A | 2.5 | 9.7
Promocija Plus | HRT | 2023-09-14 | 2023-09-18 | N | 1100 | 83.5 | 0.1 | 30.7 | 18.6 | 1.3 | 9.9 | 1.7 | N/A | 1.4 | 1.2 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.9 | 13.4 | N/A | 1.6 | N/A | 1.3 | 1.2 | 6.7
Promocija Plus | RTL | 2023-09-04 | 2023-09-07 | N | 1300 | 83.1 | 0.1 | 30.6 | 18.7 | N/A | 10.3 | 1.6 | N/A | 1.3 | 1.2 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2 | 9.4 | 13.2 | N/A | 1.3 | N/A | 1.4 | 1.2 | 5.8
2x1 Komunikacije | Večernji list | 2023-08-16 | 2023-08-28 | N | 1041 | 82.8 | 0.1 | 30.1 | 18.6 | N/A | 11.0 | 1.9 | N/A | N/A | 2.3 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.7 | 10.0 | 3.6 | 1.9 | 2.3 | 1.6 | N/A | N/A
Ipsos | Nova TV | 2023-08-01 | 2023-08-20 | N | 989 | 83.1 | 0.1 | 33.6 | 13.8 | N/A | 10.5 | 2.0 | N/A | 1.3 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.8 | 12.5 | 2.5 | N/A | 1.9 | N/A | 1.9 | 8.7
Promocija Plus | RTL | 2023-08-01 | 2023-08-04 | N | 1300 | 83.4 | 0.1 | 30.2 | 17.6 | N/A | 10.6 | 1.7 | N/A | N/A | 1.2 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.2 | 13.4 | N/A | 1.2 | 1.4 | 1.7 | 1.3 | 6.1
Ipsos | Nova TV | 2023-07-01 | 2023-07-20 | N | 977 | 84.6 | 0.1 | 34.8 | 12.6 | N/A | 9.5 | 2.8 | N/A | 1.9 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7 | 8.4 | 12.5 | 3.1 | N/A | N/A | N/A | N/A | 10.8
Promocija Plus | RTL | 2023-07-03 | 2023-07-06 | N | 1300 | 83.3 | 0.1 | 30.6 | 20.0 | N/A | 10.2 | 1.8 | N/A | N/A | 1.3 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6 | 9.0 | 11.6 | N/A | 1.4 | N/A | 1.7 | N/A | 6.0
2x1 Komunikacije | CroElecto | 2023-06-16 | 2023-06-26 | N | 1041 | 83 | 0.1 | 30.1 | 18.7 | N/A | 9.8 | 1.9 | N/A | N/A | 2.2 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | 9.0 | 10.6 | 3.7 | 1.7 | 1.8 | 1.3 | N/A | 4.1
Ipsos | Nova TV | 2023-06-01 | 2023-06-20 | N | 992 | 81.7 | 0.1 | 35.0 | 14.3 | N/A | 10.9 | N/A | N/A | 1.6 | 2.6 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.8 | 12.2 | 2.2 | 1.2 | N/A | N/A | 1.3 | 8.6
Promocija Plus | RTL | 2023-05-31 | 2023-06-02 | N | 1300 | 83.8 | 0.1 | 31.3 | 19.9 | N/A | 9.8 | 2.0 | N/A | N/A | 1.3 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6 | 8.5 | 11.2 | N/A | 1.4 | N/A | 2.4 | N/A | 5.7
2x1 Komunikacije | CroElecto | 2023-05-27 | 2023-05-27 | N | 1041 | 72.9 | 0.1 | 33.7 | 21.0 | N/A | 11.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0 | 10.3 | 13.0 | 4.4 | N/A | 2.9 | N/A | N/A | N/A
Ipsos | Nova TV | 2023-05-01 | 2023-05-21 | N | 992 | 82.7 | 0.1 | 36.6 | 15.2 | N/A | 8.8 | 1.9 | N/A | 1.7 | N/A | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5 | 8.3 | 10.9 | 2.8 | N/A | 1.6 | N/A | 1.5 | 7.5
Promocija Plus | HRT | 2023-05-15 | 2023-05-18 | N | 1100 | 84.2 | 0.1 | 31.8 | 19.8 | 1.5 | 10.2 | 1.7 | N/A | N/A | 1.5 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3 | 7.4 | 11.5 | N/A | 1.4 | N/A | 1.4 | N/A | 5.2
Promocija Plus | RTL | 2023-05-07 | 2023-05-07 | N | 1300 | 83.1 | 0.1 | 31.2 | 19.5 | 1.4 | 10.6 | 1.6 | N/A | N/A | 1.3 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7 | 7.6 | 11.2 | N/A | 1.8 | N/A | 1.9 | N/A | 6.5
2x1 Komunikacije | CroElecto | 2023-04-17 | 2023-04-27 | N | 1041 | 83.9 | 0.1 | 28.0 | 18.1 | N/A | 11.2 | 1.8 | N/A | N/A | 2.0 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9 | 8.8 | 11.9 | 3.7 | 1.7 | 2.7 | 2.0 | N/A | N/A
Ipsos | Nova TV | 2023-04-01 | 2023-04-21 | N | 982 | 83 | 0.1 | 37.2 | 16.4 | N/A | 10.5 | N/A | N/A | 1.4 | 2.3 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.2 | 10.6 | 1.4 | N/A | N/A | N/A | N/A | 10.7
Promocija Plus | HRT | 2023-04-14 | 2023-04-18 | N | 1100 | 84.1 | 0.1 | 31.0 | 19.0 | 1.0 | 10.6 | 2.1 | 0.5 | 1.1 | 1.2 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3 | 7.3 | 11.5 | 0.6 | 1.5 | 1.2 | 2.1 | N/A | N/A
Promocija Plus | N/A | 2023-04-02 | 2023-04-05 | N | 1300 | 83.3 | 0.1 | 31.0 | 18.7 | N/A | 10.0 | 1.9 | N/A | N/A | 1.3 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7 | 8.0 | 11.3 | N/A | 1.8 | N/A | 2.2 | N/A | N/A
2x1 Komunikacije | CroElecto | 2023-03-01 | 2023-03-31 | N | 1041 | 83.1 | 0.1 | 28.4 | 17.8 | 0.1 | 11.1 | 1.1 | 0.2 | 0.1 | 1.9 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6 | 9.3 | 11.8 | 4.0 | 1.4 | 2.8 | 2.4 | N/A | N/A
Ipsos | Nova TV | 2023-03-01 | 2023-03-21 | N | 991 | 80.8 | 0.1 | 37.6 | 15.3 | N/A | 10.4 | 1.5 | N/A | N/A | 2.2 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.9 | 8.9 | 2.5 | N/A | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2023-03-14 | 2023-03-17 | N | 1100 | 84.6 | 0.1 | 30.9 | 18.7 | 1.2 | 11.0 | 1.4 | N/A | 1.2 | N/A | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.0 | 11.6 | N/A | 1.4 | 1.3 | 1.9 | N/A | N/A
Promocija Plus | RTL | 2023-03-01 | 2023-03-03 | N | 1300 | 83.5 | 0.1 | 30.8 | 18.4 | 1.4 | 11.1 | 1.4 | N/A | 1.2 | 1.2 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2 | 8.1 | 11.7 | N/A | 1.6 | 1.3 | 1.6 | N/A | N/A
2x1 Komunikacije | CroElecto | 2023-02-25 | 2023-02-25 | N | 1041 | 83.2 | 0.1 | 29.0 | 17.7 | N/A | 11.4 | 1.6 | N/A | N/A | 2.0 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8 | 9.0 | 11.5 | 3.8 | N/A | 3.6 | 1.8 | N/A | N/A
Ipsos | Nova TV | 2023-02-01 | 2023-02-21 | N | 991 | 84.9 | 0.1 | 35.5 | 14.4 | N/A | 10.6 | 2.0 | N/A | 1.8 | 1.8 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.7 | 10.1 | 2.0 | 1.8 | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2023-02-01 | 2023-02-03 | N | 1300 | 83.6 | 0.1 | 30.5 | 17.9 | N/A | 10.9 | 1.7 | N/A | 1.2 | 1.2 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3 | 7.5 | 11.6 | 1.2 | 1.7 | 1.9 | 1.7 | N/A | N/A
2x1 Komunikacije | CroElecto | 2023-01-16 | 2023-01-27 | N | 1041 | 83.9 | 0.1 | 30.2 | 18.2 | N/A | 11.1 | 1.4 | N/A | N/A | 1.5 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | 8.6 | 11.8 | 3.6 | N/A | 3.7 | 1.8 | N/A | N/A
Ipsos | Nova TV | 2023-01-01 | 2023-01-22 | N | 996 | 83.5 | 0.1 | 35.9 | 13.9 | N/A | 10.4 | 2.8 | N/A | 1.7 | 2.4 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6 | 7.5 | 9.6 | 2.6 | N/A | 1.8 | N/A | N/A | N/A
Promocija Plus | RTL | 2023-01-02 | 2023-01-05 | N | 1300 | N/A | 0.1 | 31.5 | 17.7 | 1.4 | 10.9 | 1.4 | N/A | N/A | 1.2 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2 | 7.3 | 12.1 | N/A | 1.7 | 2.0 | 1.6 | N/A | N/A
2x1 Komunikacije | CroElecto | 2022-12-15 | 2022-12-27 | N | 1041 | N/A | 0.1 | 30.0 | 17.8 | N/A | 11.0 | N/A | N/A | N/A | 1.6 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | 8.5 | 12.1 | 3.8 | N/A | 2.7 | 1.7 | N/A | N/A
Ipsos | Nova TV | 2022-12-01 | 2022-12-20 | N | 990 | N/A | 0.1 | 37.3 | 14.9 | N/A | 9.7 | 1.8 | N/A | 2.2 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3 | 8.3 | 9.1 | 1.7 | N/A | N/A | 1.9 | N/A | N/A
Promocija Plus | RTL | 2022-11-30 | 2022-12-03 | N | 1300 | N/A | 0.1 | 31.8 | 18.2 | 1.3 | 10.6 | 1.4 | N/A | N/A | 1.3 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.0 | 12.1 | N/A | 1.5 | 1.8 | 2.2 | N/A | N/A
2x1 Komunikacije | CroElecto | 2022-11-11 | 2022-11-24 | N | 1041 | N/A | 0.1 | 28.6 | 18.1 | 0.9 | 11.5 | 0.4 | 0.1 | 0.1 | 1.6 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | 8.5 | 12.5 | 3.8 | 1.0 | 3.0 | 1.7 | N/A | N/A
Ipsos | Nova TV | 2022-11-01 | 2022-11-21 | N | 990 | N/A | 0.1 | 36.2 | 14.2 | N/A | 10.1 | N/A | N/A | 2.3 | 3.6 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9 | 7.0 | 10.4 | 1.9 | 1.8 | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2022-11-14 | 2022-11-17 | N | 1400 | N/A | 0.1 | 31.4 | 19.2 | 1.1 | 10.4 | 1.6 | 0.5 | 1.1 | 1.2 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1 | 6.7 | 13.2 | 0.9 | 1.5 | 1.8 | 1.5 | N/A | N/A
Promocija Plus | RTL | 2022-11-02 | 2022-11-04 | N | 1300 | N/A | 0.1 | 29.9 | 20.0 | N/A | 11.5 | 1.6 | N/A | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3 | 7.4 | 12.1 | N/A | 1.7 | 1.6 | 1.5 | N/A | N/A
2x1 Komunikacije | CroElecto | 2022-10-01 | 2022-10-31 | N | N/A | N/A | 0.1 | 28.1 | 18.4 | 0.3 | 11.6 | 0.8 | N/A | 0.4 | 1.5 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3 | 8.6 | 12.7 | 3.8 | 0.4 | 3.1 | 1.5 | N/A | N/A
Ipsos | Nova TV | 2022-10-01 | 2022-10-21 | N | 987 | N/A | 0.1 | 32.4 | 14.5 | 1.7 | 10.1 | 1.9 | N/A | 2.4 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.1 | 9.0 | 4.1 | 2.2 | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2022-10-17 | 2022-10-19 | N | 1400 | N/A | 0.1 | 30.0 | 19.7 | 1.2 | 11.3 | 1.8 | 0.5 | 0.7 | 1.3 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1 | 6.6 | 13.6 | 0.6 | 1.6 | 1.9 | 1.5 | N/A | N/A
Promocija Plus | RTL | 2022-10-03 | 2022-10-06 | N | 1300 | N/A | 0.1 | 29.7 | 20.3 | N/A | 11.2 | 1.7 | N/A | N/A | N/A | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.3 | 12.9 | N/A | 1.7 | 1.7 | N/A | N/A | N/A
2x1 Komunikacije | CroElecto | 2022-09-12 | 2022-09-23 | N | 1041 | N/A | 0.1 | 29.1 | 18.2 | 0.8 | 11.8 | 0.6 | 0.1 | N/A | 1.4 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | 8.8 | 11.8 | 3.8 | 1.1 | 4.0 | 1.3 | N/A | N/A
Ipsos | Nova TV | 2022-09-01 | 2022-09-22 | N | 986 | N/A | 0.1 | 32.4 | 15.2 | N/A | 9.9 | N/A | N/A | N/A | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.6 | 9.7 | 3.8 | 2.3 | N/A | 2.1 | N/A | N/A
Promocija Plus | RTL | 2022-09-15 | 2022-09-19 | N | 1400 | N/A | 0.1 | 30.7 | 20.3 | 1.5 | 10.6 | 1.8 | 0.5 | 0.7 | 1.2 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2 | 6.9 | 13.3 | 0.6 | 1.7 | 1.6 | 1.5 | N/A | N/A
Promocija Plus | RTL | 2022-09-01 | 2022-09-03 | N | 1300 | N/A | 0.1 | 29.5 | 20.3 | 2.0 | 11.5 | 2.2 | N/A | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.7 | 12.9 | N/A | 2.0 | 1.6 | N/A | N/A | N/A
2x1 Komunikacije | CroElecto | 2022-08-11 | 2022-08-26 | N | 1041 | N/A | 0.1 | 31.3 | 17.9 | N/A | 11.1 | N/A | N/A | N/A | 1.6 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3 | 8.4 | 12.0 | 2.6 | N/A | 3.6 | N/A | N/A | N/A
Ipsos | Nova TV | 2022-08-01 | 2022-08-21 | N | 981 | N/A | 0.1 | 36.0 | 15.8 | 1.8 | 11.0 | 1.8 | N/A | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.8 | 10.8 | 3.0 | 3.0 | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2022-08-01 | 2022-08-04 | N | 1300 | N/A | 0.1 | 33.0 | 19.6 | N/A | 10.2 | 1.6 | N/A | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.1 | 12.9 | N/A | 1.6 | 1.2 | 1.3 | N/A | N/A
2x1 Komunikacije | CroElecto | 2022-07-14 | 2022-07-28 | N | 1041 | N/A | 0.1 | 32.5 | 19.2 | N/A | 11.3 | 0.4 | N/A | N/A | 1.7 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | 8.3 | 13.2 | 2.1 | 0.6 | 4.6 | 0.6 | N/A | N/A
Ipsos | Nova TV | 2022-07-01 | 2022-07-20 | N | 984 | N/A | 0.1 | 35.0 | 16.7 | N/A | 9.9 | 2.3 | N/A | N/A | 2.2 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3 | 6.1 | 11.9 | 2.5 | 1.8 | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2022-07-04 | 2022-07-07 | N | 1300 | N/A | 0.1 | 33.5 | 21.4 | N/A | 10.3 | 1.3 | N/A | N/A | 1.2 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.7 | 14.2 | N/A | N/A | N/A | N/A | N/A | N/A
2x1 Komunikacije | CroElecto | 2022-06-13 | 2022-06-26 | N | 1041 | N/A | 0.1 | 30.3 | 20.3 | 1.1 | 11.5 | 0.3 | 0.3 | 0.3 | 1.8 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | 8.6 | 12.8 | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Nova TV | 2022-06-01 | 2022-06-20 | N | 990 | N/A | 0.1 | 35.3 | 15.4 | N/A | 11.0 | 2.3 | N/A | 2.3 | 2.5 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3 | 7.6 | 10.7 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2022-06-01 | 2022-06-03 | N | 1300 | N/A | 0.1 | 32.4 | 20.2 | 1.2 | 11.2 | 2.1 | N/A | N/A | 1.2 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.2 | 14.9 | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Nova TV | 2022-05-01 | 2022-05-20 | N | 976 | N/A | 0.1 | 34.3 | 16.1 | 2.2 | 11.7 | 1.8 | N/A | 2.1 | 1.7 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.4 | 11.7 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | HRT | 2022-05-16 | 2022-05-19 | N | 1400 | N/A | 0.1 | 31.8 | 21.4 | N/A | 11.0 | 1.9 | N/A | 1.2 | 1.3 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.5 | 14.5 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2022-05-02 | 2022-05-05 | N | 1300 | N/A | 0.1 | 31.5 | 21.1 | N/A | 11.1 | 1.9 | N/A | 1.3 | 1.2 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.8 | 15.2 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | HRT | 2022-04-19 | 2022-04-21 | N | 1400 | N/A | 0.1 | 30.4 | 20.5 | N/A | 11.7 | 2.2 | N/A | 1.2 | 1.3 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.9 | 14.8 | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Nova TV | 2022-04-01 | 2022-04-20 | N | 987 | N/A | 0.1 | 34.2 | 19.0 | 1.3 | 10.8 | N/A | N/A | 2.3 | 2.3 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.7 | 10.9 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2022-04-05 | 2022-04-08 | N | 1300 | N/A | 0.1 | 30.7 | 20.7 | N/A | 12.5 | 2.1 | N/A | N/A | 1.2 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.7 | 15.5 | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Nova TV | 2022-03-01 | 2022-03-19 | N | 990 | N/A | 0.1 | 33.4 | 16.6 | 2.0 | 12.0 | 1.5 | N/A | 1.5 | N/A | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7 | 6.7 | 12.7 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | HRT | 2022-03-15 | 2022-03-18 | N | 1400 | N/A | 0.1 | 30.1 | 19.4 | N/A | 12.3 | 2.0 | N/A | 1.3 | 1.4 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.8 | 14.7 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2022-03-01 | 2022-03-03 | N | 1300 | N/A | 0.1 | 30.1 | 20.3 | N/A | 12.7 | 1.9 | N/A | N/A | 1.2 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.5 | 15.0 | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Nova TV | 2022-02-22 | 2022-02-23 | N | 600 | N/A | 0.1 | 30.9 | 15.7 | 3.2 | 14.3 | 1.3 | N/A | N/A | 1.6 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.4 | 14.8 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2022-02-01 | 2022-02-03 | N | 1300 | N/A | 0.1 | 30.9 | 21.1 | N/A | 13.1 | 1.4 | N/A | N/A | 1.2 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5 | 5.1 | 15.2 | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Nova TV | 2022-01-01 | 2022-01-19 | N | 991 | N/A | 0.1 | 36.5 | 16.2 | N/A | 10.6 | N/A | N/A | 1.2 | 2.2 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.2 | 11.3 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2022-01-03 | 2022-01-05 | N | 1300 | N/A | 0.1 | 30.3 | 19.6 | N/A | 14.4 | 1.4 | N/A | N/A | 1.3 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5 | 4.3 | 15.4 | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Nova TV | 2021-12-01 | 2021-12-19 | N | 987 | N/A | 0.1 | 36.0 | 15.9 | 2.9 | 12.8 | 1.9 | N/A | 1.5 | 2.1 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.4 | 10.7 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2021-12-01 | 2021-12-03 | N | 1300 | N/A | 0.1 | 32.5 | 19.3 | N/A | 10.2 | 1.3 | N/A | N/A | 1.2 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8 | 5.9 | 17.0 | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Nova TV | 2021-11-01 | 2021-11-20 | N | 990 | N/A | 0.1 | 35.8 | 16.0 | 2.8 | 11.4 | N/A | N/A | 1.8 | N/A | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5 | 5.8 | 12.5 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | HRT | 2021-11-15 | 2021-11-17 | N | 1400 | N/A | 0.1 | 32.7 | 18.7 | 1.4 | 9.5 | 1.9 | N/A | N/A | 1.4 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.4 | 18.3 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2021-11-02 | 2021-11-05 | N | 1300 | N/A | 0.1 | 32.4 | 18.9 | 1.4 | 9.5 | 1.5 | N/A | N/A | 1.2 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4 | 5.9 | 18.8 | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Nova TV | 2021-10-01 | 2021-10-20 | N | 981 | N/A | 0.1 | 36.2 | 14.3 | N/A | 9.6 | 2.3 | N/A | 2.3 | N/A | 1.3 | N/A | 0.4 | N/A | N/A | N/A | N/A | N/A | N/A | 5.3 | 13.1 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | HRT | 2021-10-16 | 2021-10-19 | N | 1400 | N/A | 0.1 | 32.7 | 19.1 | 1.4 | 8.2 | 1.8 | N/A | N/A | 1.2 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6 | 4.9 | 19.3 | N/A | N/A | N/A | N/A | N/A | N/A
Promocija Plus | RTL | 2021-10-04 | 2021-10-07 | N | 1300 | N/A | 0.1 | 32.9 | 19.2 | N/A | 8.0 | 1.6 | N/A | 1.3 | 1.3 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.4 | 20.4 | N/A | N/A | N/A | N/A | N/A | N/A
