Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | M5S | Lega | PD | FI | FdI | LS | PaP | +Eu | NcI | CPI | C! | EV | Az | IV | SI | Art.1 | CI | Italexit | IpF | IC | AVS | NM | UP | ISP | DSP | Other
Lab2101 | Affari Italiani | 2023-11-09 | 2023-11-16 | N | 1000 | N/A | 0.1 | 16.4 | 10.8 | 19.7 | 5.6 | 29.1 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 3.6 | 3.2 | N/A | N/A | N/A | 2.5 | N/A | N/A | 4.2 | 0.5 | N/A | N/A | N/A | 2.0
Eumetra | La7 | 2023-11-14 | 2023-11-15 | N | 800 | N/A | 0.1 | 16.5 | 9.2 | 19.3 | 7.2 | 28.6 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | 3.8 | 3.1 | N/A | N/A | N/A | 2.0 | N/A | N/A | 3.5 | 1.1 | N/A | N/A | N/A | 3.1
SWG | La7 | 2023-11-08 | 2023-11-13 | N | 1200 | N/A | 0.1 | 16.2 | 9.4 | 19.7 | 6.7 | 29.1 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 3.9 | 3.0 | N/A | N/A | N/A | 1.9 | N/A | N/A | 3.6 | 1.1 | 1.2 | N/A | N/A | 1.7
Tecnè | Agenzia Dire | 2023-11-09 | 2023-11-10 | N | 1000 | N/A | 0.1 | 16.3 | 8.7 | 19.4 | 10.0 | 28.6 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 3.8 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.3 | N/A | N/A | N/A | N/A | 4.5
Ipsos | Corriere della Sera | 2023-11-07 | 2023-11-09 | N | 1000 | N/A | 0.1 | 17.0 | 9.2 | 18.0 | 7.8 | 28.5 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | 3.1 | 3.5 | N/A | N/A | N/A | 2.0 | N/A | N/A | 3.5 | 1.1 | 1.2 | N/A | 1.2 | 1.3
Quorum – YouTrend | Sky TG24 | 2023-11-07 | 2023-11-09 | N | 804 | N/A | 0.1 | 13.7 | 9.3 | 19.6 | 5.5 | 29.5 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.4 | 2.5 | N/A | N/A | N/A | 2.3 | N/A | N/A | 3.3 | 1.9 | N/A | N/A | N/A | 5.5
Demos & Pi | La Repubblica | 2023-11-06 | 2023-11-09 | N | 1006 | N/A | 0.1 | 16.7 | 7.7 | 20.3 | 7.2 | 28.4 | N/A | N/A | 2.8 | N/A | N/A | N/A | N/A | 3.2 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.5 | N/A | N/A | N/A | N/A | 7.2
Eumetra | La7 | 2023-11-08 | 2023-11-08 | N | 800 | N/A | 0.1 | 16.6 | 9.4 | 19.5 | 6.9 | 28.8 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 4.0 | 2.9 | N/A | N/A | N/A | 1.9 | N/A | N/A | 3.4 | 0.9 | N/A | N/A | N/A | 3.3
Lab2101 | Affari Italiani | 2023-11-03 | 2023-11-08 | N | 1000 | N/A | 0.1 | 16.6 | 10.7 | 19.5 | 5.7 | 29.2 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 3.7 | 3.5 | N/A | N/A | N/A | 2.6 | N/A | N/A | 4.1 | 0.4 | N/A | N/A | N/A | 1.5
Noto Sondaggi | Rai 1 | 2023-11-07 | 2023-11-07 | N | N/A | N/A | 0.5 | 17.5 | 9.5 | 20.0 | 7.0 | 28.5 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | 3.5 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.5 | 1.5 | N/A | N/A | N/A | 4.0
