Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PP | PSOE | Cs | UP | ERC | Junts | EAJ-PNV | PACMA | EH Bildu | AUN | BNG | Vox | AR | CEUS | PE | Compromís | Sumar | Podemos | CUP | UPN | PRC | EV | Other
Simple Lógica | N/A | 2021-08-02 | 2021-08-04 | N | 1062 | 62.8 | 0.1 | 24.6 | 27.9 | 2.9 | 10.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.9 | N/A | N/A | N/A | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2021-07-26 | 2021-07-29 | N | 1200 | N/A | 0.1 | 26.4 | 24.7 | 5.0 | 10.3 | 3.1 | 2.3 | 1.4 | N/A | 0.9 | 0.4 | 0.6 | 16.1 | N/A | N/A | N/A | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Celeste-Tel | Onda Cero | 2021-07-20 | 2021-07-23 | N | 1100 | N/A | 0.1 | 30.0 | 25.6 | 3.3 | 9.6 | 3.2 | 2.2 | 1.5 | N/A | 1.1 | 0.4 | 0.7 | 14.9 | N/A | N/A | N/A | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2021-07-16 | 2021-07-22 | N | N/A | N/A | 0.1 | 31.1 | 25.1 | 3.5 | 10.0 | 3.3 | 2.4 | 1.4 | N/A | 1.1 | 0.5 | 0.6 | 12.4 | N/A | N/A | N/A | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | Antena 3 | 2021-07-19 | 2021-07-19 | N | N/A | N/A | 0.1 | 28.8 | 25.1 | 2.8 | 10.0 | 3.4 | 2.1 | 1.8 | N/A | N/A | N/A | N/A | 14.1 | N/A | N/A | N/A | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
DYM | Henneo | 2021-07-15 | 2021-07-19 | N | 1019 | N/A | 0.1 | 28.0 | 24.0 | 4.0 | 10.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 16.7 | N/A | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2021-07-16 | 2021-07-17 | N | 1000 | N/A | 0.1 | 30.3 | 24.5 | 2.3 | 9.0 | 3.4 | 2.3 | 1.7 | N/A | 1.1 | 0.5 | 0.6 | 15.4 | N/A | N/A | N/A | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2021-07-16 | 2021-07-16 | N | 1000 | N/A | 0.1 | 29.8 | 25.9 | 2.7 | 9.2 | 3.3 | 2.4 | 1.6 | N/A | 1.2 | N/A | N/A | 15.3 | N/A | N/A | N/A | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2021-07-12 | 2021-07-16 | N | N/A | N/A | 0.1 | 28.0 | 26.2 | 1.4 | 9.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 17.7 | N/A | N/A | N/A | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metroscopia | N/A | 2021-07-15 | 2021-07-15 | N | N/A | N/A | 0.1 | 28.4 | 26.0 | 2.5 | 11.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.7 | N/A | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
GESOP | El Periódico | 2021-07-14 | 2021-07-15 | N | 802 | N/A | 0.1 | 26.0 | 27.3 | 3.9 | 10.0 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | 13.1 | N/A | N/A | N/A | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2021-07-02 | 2021-07-15 | N | 3798 | N/A | 0.1 | 23.4 | 28.6 | 5.5 | 10.6 | 3.3 | 1.9 | 1.4 | N/A | 0.7 | 0.3 | 0.8 | 13.6 | N/A | N/A | N/A | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | N/A | 2021-07-05 | 2021-07-12 | N | 1076 | 64.9 | 0.1 | 26.9 | 23.0 | 2.4 | 12.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 17.4 | N/A | N/A | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2021-06-28 | 2021-07-02 | N | N/A | N/A | 0.1 | 28.3 | 25.9 | 1.5 | 8.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 18.1 | N/A | N/A | N/A | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2021-06-29 | 2021-07-01 | N | 1000 | N/A | 0.1 | 30.2 | 24.3 | 2.8 | 9.1 | 3.3 | 2.3 | 1.7 | N/A | 1.1 | 0.4 | 0.6 | 15.5 | N/A | N/A | N/A | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2021-06-28 | 2021-07-01 | N | 1020 | N/A | 0.1 | 29.4 | 25.9 | 2.5 | 10.5 | 3.0 | 1.8 | 1.5 | N/A | N/A | N/A | N/A | 14.4 | N/A | N/A | N/A | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2021-06-27 | 2021-06-27 | N | N/A | N/A | 0.1 | 26.2 | 24.1 | 5.2 | 10.4 | 3.1 | 2.3 | 1.5 | N/A | 1.0 | 0.4 | 0.5 | 16.6 | N/A | N/A | N/A | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2021-06-23 | 2021-06-26 | N | 1000 | N/A | 0.1 | 30.4 | 24.7 | 2.6 | 9.0 | 3.3 | 2.4 | 1.7 | N/A | 1.2 | N/A | N/A | 15.1 | N/A | N/A | N/A | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | Antena 3 | 2021-06-21 | 2021-06-21 | N | N/A | N/A | 0.1 | 30.1 | 24.5 | 2.5 | 11.4 | 3.5 | 1.9 | 2.0 | N/A | N/A | N/A | N/A | 15.5 | N/A | N/A | N/A | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
DYM | Henneo | 2021-06-17 | 2021-06-21 | N | 1002 | N/A | 0.1 | 27.9 | 25.7 | 3.5 | 9.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 16.0 | N/A | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metroscopia | N/A | 2021-06-20 | 2021-06-20 | N | N/A | N/A | 0.1 | 30.2 | 26.1 | 2.0 | 10.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.6 | N/A | N/A | N/A | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Celeste-Tel | Onda Cero | 2021-06-14 | 2021-06-18 | N | 1100 | N/A | 0.1 | 29.8 | 25.3 | 2.4 | 9.5 | 3.2 | 2.2 | 1.4 | N/A | 1.1 | 0.4 | 0.7 | 15.5 | N/A | N/A | N/A | 5.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2021-06-02 | 2021-06-15 | N | 3814 | N/A | 0.1 | 23.9 | 27.4 | 5.7 | 12.0 | 3.6 | 1.6 | 1.4 | N/A | 1.0 | 0.2 | 0.7 | 13.0 | N/A | N/A | N/A | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | NIUS | 2021-06-07 | 2021-06-10 | N | 1026 | 65.0 | 0.1 | 30.6 | 25.5 | 2.9 | 9.2 | 3.0 | 2.6 | 1.4 | N/A | 1.2 | 0.6 | 0.7 | 12.4 | N/A | N/A | N/A | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | N/A | 2021-06-01 | 2021-06-09 | N | 1017 | 64.4 | 0.1 | 27.1 | 23.0 | 3.4 | 9.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 17.0 | N/A | N/A | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2021-06-01 | 2021-06-03 | N | 1000 | N/A | 0.1 | 28.7 | 25.5 | 2.7 | 8.6 | 3.3 | 2.4 | 1.6 | N/A | 1.1 | 0.5 | 0.6 | 15.8 | N/A | N/A | N/A | 5.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2021-05-31 | 2021-06-01 | N | 1000 | N/A | 0.1 | 29.5 | 25.0 | 3.2 | 10.2 | 3.2 | 1.8 | 1.7 | N/A | N/A | N/A | N/A | 15.4 | N/A | N/A | N/A | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2021-05-26 | 2021-05-29 | N | 1100 | N/A | 0.1 | 26.5 | 25.4 | 3.1 | 9.3 | 3.6 | 2.6 | 1.7 | N/A | 1.2 | 0.4 | 0.5 | 16.9 | N/A | N/A | N/A | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
DYM | Henneo | 2021-05-21 | 2021-05-24 | N | 1008 | N/A | 0.1 | 28.1 | 24.5 | 3.4 | 9.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 16.0 | N/A | N/A | N/A | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2021-05-22 | 2021-05-22 | N | N/A | N/A | 0.1 | 30.0 | 25.8 | 2.9 | 9.2 | 3.3 | 2.3 | 1.6 | N/A | 1.2 | N/A | N/A | 14.9 | N/A | N/A | N/A | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2021-05-17 | 2021-05-21 | N | N/A | N/A | 0.1 | 27.2 | 26.9 | 1.4 | 8.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 18.4 | N/A | N/A | N/A | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metroscopia | N/A | 2021-05-20 | 2021-05-20 | N | N/A | N/A | 0.1 | 30.3 | 22.8 | 2.2 | 11.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.2 | N/A | N/A | N/A | 6.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2021-05-12 | 2021-05-18 | N | 1202 | N/A | 0.1 | 30.5 | 25.4 | 3.3 | 8.3 | 3.0 | 2.4 | 1.8 | N/A | 1.2 | 0.4 | 0.7 | 13.8 | N/A | N/A | N/A | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | Antena 3 | 2021-05-17 | 2021-05-17 | N | N/A | N/A | 0.1 | 30.7 | 26.0 | 3.1 | 10.0 | 3.0 | 2.0 | 1.9 | N/A | N/A | N/A | N/A | 15.7 | N/A | N/A | N/A | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Celeste-Tel | Onda Cero | 2021-05-10 | 2021-05-14 | N | 1100 | 64.5 | 0.1 | 28.1 | 26.0 | 2.5 | 9.6 | 3.2 | 2.0 | 1.3 | N/A | 1.1 | 0.4 | 0.6 | 16.2 | N/A | N/A | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2021-05-04 | 2021-05-13 | N | 3814 | N/A | 0.1 | 23.4 | 27.9 | 5.3 | 10.4 | 3.0 | 1.6 | 1.1 | N/A | 1.1 | 0.3 | 0.5 | 13.7 | N/A | N/A | N/A | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | N/A | 2021-05-04 | 2021-05-12 | N | 1063 | 65.5 | 0.1 | 26.2 | 26.0 | 4.0 | 8.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Hamalgama Métrica | OKDiario | 2021-05-10 | 2021-05-11 | N | 1000 | N/A | 0.1 | 27.3 | 25.5 | 2.3 | 9.0 | 3.1 | 2.3 | 1.6 | N/A | 1.3 | 0.5 | 0.6 | 17.9 | N/A | N/A | N/A | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2021-05-04 | 2021-05-08 | N | 1000 | 64.4 | 0.1 | 26.9 | 26.1 | 2.8 | 9.9 | 3.4 | 2.3 | 1.5 | N/A | 1.3 | N/A | N/A | 17.1 | N/A | N/A | N/A | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2021-05-05 | 2021-05-07 | N | N/A | N/A | 0.1 | 27.3 | 26.7 | 1.2 | 7.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 18.9 | N/A | N/A | N/A | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Demoscopia y Servicios | ESdiario | 2021-05-05 | 2021-05-06 | N | 1000 | N/A | 0.1 | 25.9 | 25.3 | 2.3 | 10.3 | 3.4 | 2.7 | 1.6 | N/A | 1.3 | 0.4 | 0.6 | 16.9 | N/A | N/A | N/A | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2021-05-05 | 2021-05-06 | N | 1000 | N/A | 0.1 | 30.2 | 25.7 | 3.6 | 13.0 | 3.1 | 2.0 | 1.9 | N/A | N/A | N/A | N/A | 15.2 | N/A | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | NIUS | 2021-04-14 | 2021-04-16 | N | 1001 | 63.0 | 0.1 | 27.0 | 28.7 | 4.5 | 9.2 | 3.2 | 2.0 | 1.9 | N/A | 1.1 | 0.4 | 0.6 | 14.5 | N/A | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2021-04-12 | 2021-04-16 | N | N/A | N/A | 0.1 | 24.5 | 28.0 | 3.6 | 9.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 18.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metroscopia | N/A | 2021-04-15 | 2021-04-15 | N | N/A | N/A | 0.1 | 24.1 | 29.8 | 2.1 | 11.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 17.6 | N/A | N/A | N/A | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | N/A | 2021-04-05 | 2021-04-13 | N | 1053 | 65.6 | 0.1 | 22.9 | 27.9 | 3.8 | 11.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 17.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2021-03-26 | 2021-03-31 | N | 1000 | 63.1 | 0.1 | 24.8 | 26.6 | 4.0 | 11.5 | 3.3 | 2.2 | 1.5 | N/A | 1.3 | N/A | N/A | 17.4 | N/A | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2021-03-15 | 2021-03-19 | N | N/A | N/A | 0.1 | 23.9 | 28.4 | 4.4 | 9.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 18.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metroscopia | N/A | 2021-03-15 | 2021-03-15 | N | N/A | N/A | 0.1 | 20.9 | 27.9 | 3.0 | 11.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 19.9 | N/A | N/A | N/A | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2021-03-01 | 2021-03-11 | N | 3820 | N/A | 0.1 | 17.9 | 31.3 | 9.5 | 9.6 | 3.2 | 1.5 | 1.7 | N/A | 1.0 | 0.2 | 0.6 | 15.0 | N/A | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | N/A | 2021-03-01 | 2021-03-09 | N | 1023 | 64.6 | 0.1 | 17.5 | 27.1 | 7.6 | 11.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 18.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2021-03-01 | 2021-03-05 | N | N/A | N/A | 0.1 | 23.2 | 26.8 | 6.6 | 10.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 17.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2021-03-01 | 2021-03-03 | N | 1096 | N/A | 0.1 | 22.9 | 27.2 | 5.4 | 11.7 | 3.2 | 2.0 | 2.1 | N/A | N/A | N/A | N/A | 17.4 | N/A | N/A | N/A | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2021-02-24 | 2021-02-28 | N | 1000 | N/A | 0.1 | 23.7 | 27.4 | 4.3 | 10.9 | 3.3 | 2.2 | 1.5 | N/A | 1.3 | N/A | N/A | 18.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | NIUS | 2021-02-22 | 2021-02-25 | N | 1000 | 62.0 | 0.1 | 22.2 | 28.6 | 5.9 | 10.1 | 3.7 | 2.2 | 1.7 | N/A | 1.2 | 0.4 | 0.6 | 17.1 | N/A | N/A | N/A | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
DYM | Henneo | 2021-02-19 | 2021-02-23 | N | 1002 | N/A | 0.1 | 19.6 | 25.4 | 7.5 | 12.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 18.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Celeste-Tel | Onda Cero | 2021-02-17 | 2021-02-23 | N | 1100 | 64.4 | 0.1 | 22.3 | 28.3 | 4.6 | 10.1 | 3.6 | 2.1 | 1.6 | N/A | 1.2 | 0.5 | 0.7 | 18.2 | N/A | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Hamalgama Métrica | OKDiario | 2021-02-19 | 2021-02-22 | N | 1000 | N/A | 0.1 | 22.1 | 28.7 | 3.1 | 9.9 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | 19.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2021-02-15 | 2021-02-17 | N | 1145 | N/A | 0.1 | 23.4 | 27.6 | 6.3 | 11.9 | 3.2 | 2.2 | 2.0 | N/A | N/A | N/A | N/A | 15.6 | N/A | N/A | N/A | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metroscopia | N/A | 2021-02-15 | 2021-02-15 | N | N/A | N/A | 0.1 | 19.6 | 28.7 | 4.6 | 11.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 19.1 | N/A | N/A | N/A | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2021-02-03 | 2021-02-11 | N | 3869 | N/A | 0.1 | 18.8 | 30.7 | 9.3 | 11.2 | 3.5 | 1.3 | 1.5 | N/A | 0.8 | 0.4 | 0.7 | 13.6 | N/A | N/A | N/A | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | N/A | 2021-02-01 | 2021-02-05 | N | 1054 | 62.0 | 0.1 | 18.8 | 28.8 | 9.2 | 10.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 16.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2021-01-07 | 2021-01-25 | N | 3862 | N/A | 0.1 | 20.5 | 30.7 | 9.3 | 10.7 | 2.9 | 1.5 | 1.6 | N/A | 0.9 | 0.5 | 0.5 | 13.0 | N/A | N/A | N/A | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2021-01-18 | 2021-01-22 | N | N/A | N/A | 0.1 | 23.2 | 27.0 | 7.0 | 10.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 16.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metroscopia | N/A | 2021-01-15 | 2021-01-15 | N | N/A | N/A | 0.1 | 22.8 | 27.2 | 6.4 | 11.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 16.5 | N/A | N/A | N/A | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Celeste-Tel | Onda Cero | 2021-01-11 | 2021-01-15 | N | 1100 | 64.7 | 0.1 | 23.7 | 27.0 | 6.7 | 11.8 | 3.9 | 2.2 | 1.6 | N/A | 1.2 | 0.5 | 0.9 | 14.8 | N/A | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Hamalgama Métrica | OKDiario | 2021-01-12 | 2021-01-14 | N | 1000 | N/A | 0.1 | 24.4 | 26.4 | 5.2 | 12.5 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | 15.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | N/A | 2021-01-04 | 2021-01-13 | N | 1045 | N/A | 0.1 | 21.1 | 26.3 | 8.9 | 10.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
SyM Consulting | N/A | 2021-01-07 | 2021-01-10 | N | 2915 | 70.0 | 0.1 | 24.6 | 26.7 | 6.6 | 9.6 | 3.7 | 2.0 | 1.6 | N/A | 1.1 | N/A | N/A | 14.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2020-12-28 | 2021-01-05 | N | 1206 | N/A | 0.1 | 22.9 | 26.7 | 6.7 | 10.5 | 3.4 | 2.7 | 1.8 | N/A | 1.3 | 0.8 | 0.6 | 16.7 | N/A | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2020-12-18 | 2020-12-30 | N | 1000 | 62.8 | 0.1 | 24.3 | 26.2 | 6.7 | 11.7 | 3.5 | 2.3 | 1.5 | N/A | 1.2 | 0.4 | 1.0 | 15.2 | N/A | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2020-12-22 | 2020-12-29 | N | 1144 | N/A | 0.1 | 25.2 | 27.9 | 7.6 | 10.8 | 3.3 | 2.1 | 1.9 | N/A | N/A | N/A | N/A | 13.5 | N/A | N/A | N/A | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2020-12-14 | 2020-12-18 | N | N/A | N/A | 0.1 | 23.0 | 27.4 | 7.7 | 10.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 16.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
DYM | Henneo | 2020-12-15 | 2020-12-17 | N | 1000 | N/A | 0.1 | 22.9 | 24.0 | 8.2 | 10.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 17.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Celeste-Tel | Onda Cero | 2020-12-09 | 2020-12-15 | N | 1100 | 64.5 | 0.1 | 23.3 | 27.1 | 6.5 | 12.0 | 3.8 | 2.2 | 1.6 | N/A | 1.1 | 0.5 | 0.9 | 14.9 | N/A | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | COPE | 2020-11-30 | 2020-12-14 | N | 2005 | 64.0 | 0.1 | 25.6 | 28.0 | 7.1 | 9.5 | 3.4 | 1.8 | 1.7 | N/A | 1.5 | 0.6 | 1.0 | 13.1 | N/A | N/A | N/A | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2020-12-01 | 2020-12-09 | N | 3817 | N/A | 0.1 | 19.2 | 29.5 | 10.5 | 10.8 | 2.9 | 1.7 | 1.4 | N/A | 1.2 | 0.5 | 0.5 | 14.0 | N/A | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | N/A | 2020-11-30 | 2020-12-09 | N | 1065 | N/A | 0.1 | 19.9 | 27.9 | 7.7 | 11.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 16.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | Antena 3 | 2020-12-07 | 2020-12-07 | N | N/A | N/A | 0.1 | 25.5 | 28.5 | 7.0 | 12.1 | 3.3 | 2.1 | 1.9 | N/A | N/A | N/A | N/A | 13.4 | N/A | N/A | N/A | 0.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Hamalgama Métrica | OKDiario | 2020-12-02 | 2020-12-05 | N | 1000 | N/A | 0.1 | 23.8 | 26.2 | 5.3 | 13.0 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | 15.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
SW Demoscopia | infoLibre | 2020-11-26 | 2020-12-05 | N | 1237 | N/A | 0.1 | 20.7 | 28.4 | 8.4 | 11.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 17.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
DYM | Henneo | 2020-11-18 | 2020-11-20 | N | 1001 | N/A | 0.1 | 23.5 | 23.6 | 8.9 | 9.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 17.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2020-11-03 | 2020-11-12 | N | 3853 | N/A | 0.1 | 18.6 | 30.4 | 9.5 | 11.4 | 3.2 | 1.7 | 1.5 | N/A | 0.7 | 0.4 | 0.6 | 13.2 | N/A | N/A | N/A | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | N/A | 2020-11-04 | 2020-11-11 | N | 1036 | 63.4 | 0.1 | 20.5 | 29.2 | 5.1 | 11.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Celeste-Tel | Onda Cero | 2020-11-04 | 2020-11-09 | N | 1100 | 64.2 | 0.1 | 22.5 | 27.7 | 6.7 | 11.8 | 3.8 | 2.1 | 1.5 | N/A | 1.2 | 0.5 | 0.9 | 15.3 | N/A | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2020-10-30 | 2020-11-07 | N | 1000 | 63.1 | 0.1 | 23.2 | 26.8 | 7.2 | 11.5 | 3.5 | 2.5 | 1.5 | N/A | 1.3 | 0.4 | 0.8 | 15.9 | N/A | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2020-10-26 | 2020-10-30 | N | N/A | N/A | 0.1 | 23.2 | 28.5 | 7.3 | 11.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2020-10-24 | 2020-10-24 | N | N/A | N/A | 0.1 | 24.0 | 29.3 | 6.8 | 11.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
