Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | DPS | DF | DCG | SNP | DEMOS | SDP | BS | SD | URA | FORCA | ASh | Prava | UCG | Dsi | LSh | ЗБЦГ | MjNN | CnB | UDSH | LP | PD | DNP | NSD | PzP | DP | PES! | Civis | Other
NSPM | N/A | 2019-09-01 | 2019-09-30 | N | 1300 | N/A | 0.1 | 35.5 | 20.8 | 15.1 | N/A | 1.7 | 3.2 | 3.2 | 4.4 | 2.5 | N/A | N/A | 1.9 | N/A | 6.3 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Ipsos | N/A | 2019-08-01 | 2019-08-31 | N | N/A | N/A | 0.5 | 41 | 13 | 17 | N/A | 2.5 | 2 | 2 | 4 | 2 | N/A | 2 | 3 | N/A | 8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
CeDem | N/A | 2019-07-01 | 2019-07-13 | N | 1002 | N/A | 0.1 | 34.0 | 15.6 | 14.6 | N/A | 3.7 | 3.1 | 4.3 | 5.3 | 4.9 | N/A | 2.6 | 2.3 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
NSPM | N/A | 2018-12-01 | 2018-12-12 | N | 1450 | N/A | 0.1 | 42.7 | 18.4 | 14.1 | 4.4 | 1.2 | 3.5 | 3.1 | 4.5 | 2.1 | N/A | 1.5 | 1.3 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
CeDem | N/A | 2018-11-26 | 2018-12-08 | N | 1002 | N/A | 0.1 | 41.3 | 10.0 | 20.5 | 6.8 | 2.6 | 3.5 | 3.2 | 4.0 | 2.6 | N/A | 2.3 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
CeDem | N/A | 2018-03-20 | 2018-03-28 | N | 1004 | N/A | 0.1 | 43.0 | 12.6 | 21.2 | 5.1 | 2.4 | 4.0 | 2.0 | 1.2 | 3.7 | 2.4 | N/A | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
CeDem | N/A | 2017-12-10 | 2017-12-27 | N | 1004 | N/A | 0.1 | 39.9 | 13.0 | 21.3 | 4.5 | 3.5 | 3.9 | 2.7 | 3.5 | 3.5 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Ipsos | N/A | 2017-10-06 | 2017-10-12 | N | 1220 | N/A | 1 | 40 | 15 | 23 | 5 | 3 | 3 | 3 | 3 | 3 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
DeFacto | N/A | 2017-09-14 | 2017-10-04 | N | 1006 | N/A | 0.1 | 37.3 | 12.0 | 25.6 | 4.0 | 4.2 | 3.3 | 1.9 | 1.9 | 1.5 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.5
CeDem | N/A | 2017-06-05 | 2017-06-26 | N | 1032 | N/A | 0.1 | 38.4 | 11.4 | 19.6 | 4.8 | 5.8 | 3.8 | 3.1 | 3.2 | 3.9 | 1.2 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
CeDem | N/A | 2016-12-05 | 2016-12-14 | N | 1029 | N/A | 0.1 | 36.4 | 20.8 | 12.1 | 7.7 | 6.2 | 4.1 | 3.4 | 2.3 | 1.6 | 0.8 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7
