Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SDS | Levica | LMŠ | SD | SMC | NSi | SAB | SNS | DeSUS | SLS | PSS | DD | ZS | PoS | ND | GS | LRG | K | Resni.ca | LIDE | VESNA | Other
Parsifal | Nova 24 | 2020-02-12 | 2020-02-13 | N | 723 | N/A | 0.1 | 30.8 | 7.5 | 19.6 | 10.0 | 4.9 | 8.0 | 1.8 | 4.6 | 6.0 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
Ninamedia | RTV SLO | 2020-02-11 | 2020-02-13 | N | 700 | N/A | 0.1 | 29.3 | 7.9 | 25.6 | 12.3 | 3.0 | 7.8 | 1.5 | 3.7 | 4.3 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2
Parsifal | Nova 24 | 2020-02-03 | 2020-02-05 | N | 702 | N/A | 0.1 | 26 | 7.4 | 24.5 | 9.2 | 2.8 | 6.3 | 2.8 | 7.7 | 5.7 | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Mediana | Delo | 2020-01-28 | 2020-02-03 | N | 777 | N/A | 0.1 | 25.7 | 11.2 | 22.1 | 11.2 | 3.5 | 5.8 | 2.8 | 5.1 | 3.1 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.8
Parsifal | N/A | 2020-01-27 | 2020-01-29 | N | 952 | N/A | 0.1 | 27.2 | 7.2 | 27.1 | 10.5 | 2.8 | 4.9 | 3.4 | 5.8 | 5.8 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2020-01-01 | 2020-01-26 | N | 767 | N/A | 0.1 | 23.0 | 11.8 | 24.7 | 11.8 | 2.5 | 10.1 | 2.9 | 4.2 | 6.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Mediana | Delo | 2020-01-03 | 2020-01-09 | N | 723 | N/A | 0.1 | 21.2 | 11.2 | 22.3 | 9.6 | 2.7 | 11 | 3.2 | 5.3 | 4.8 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.9
Ninamedia | RTV SLO | 2019-12-10 | 2019-12-12 | N | 700 | N/A | 0.1 | 24.2 | 9.5 | 29.5 | 14.2 | 0.3 | 7.7 | 1.0 | 3.6 | 4.5 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
Mediana | POP TV | 2019-11-01 | 2019-11-26 | N | 732 | N/A | 0.1 | 25.2 | 14.4 | 22.5 | 15.5 | N/A | 5.9 | 2.1 | 5.9 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | RTV SLO | 2019-11-12 | 2019-11-14 | N | 700 | N/A | 0.1 | 21 | 10.2 | 33.1 | 11 | 0.9 | 11.5 | 1.4 | 1.7 | 5.0 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
Mediana | Delo | 2019-10-28 | 2019-11-07 | N | 735 | N/A | 0.1 | 22.6 | 16.6 | 22.8 | 8.9 | 2.8 | 8.8 | 3.4 | 4.7 | 3.3 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.6
Ninamedia | RTV SLO | 2019-10-15 | 2019-10-17 | N | 700 | N/A | 0.1 | 22.5 | 9.5 | 30.8 | 16 | 2 | 8 | 1.5 | 1.4 | 5.2 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.3
Mediana | POP TV | 2019-09-01 | 2019-09-22 | N | 715 | N/A | 0.1 | 24.4 | 12.3 | 26.4 | 11.5 | N/A | 8.7 | 2.6 | 4.7 | 3.6 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | RTV SLO | 2019-09-10 | 2019-09-12 | N | 700 | N/A | 0.1 | 21.5 | 9.6 | 32.3 | 13.6 | 1.2 | 6.5 | 2.6 | 2.9 | 4.3 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Mediana | Delo | 2019-08-28 | 2019-09-05 | N | 726 | N/A | 0.1 | 23.6 | 10.3 | 30.4 | 10.3 | 2.4 | 8.2 | 3.4 | 4.7 | 3.7 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2019-08-01 | 2019-08-25 | N | 722 | N/A | 0.1 | 15.6 | 4.8 | 18.8 | 6.9 | 1.8 | 4.0 | 2.4 | 2.3 | 2.9 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.4
Ninamedia | Dnevnik and RTV SLO | 2019-08-12 | 2019-08-14 | N | 700 | N/A | 0.1 | 15.5 | 6.2 | 22.2 | 10.0 | 0.5 | 3.6 | 2.4 | 1.8 | 3.3 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.6
Mediana | Delo | 2019-07-31 | 2019-08-08 | N | 736 | N/A | 0.1 | 20.6 | 9.4 | 24.4 | 10.5 | 4.2 | 9.7 | 2.6 | 4.8 | 3.2 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | Dnevnik and RTV SLO | 2019-07-11 | 2019-07-13 | N | 700 | N/A | 0.1 | 25.2 | 8.7 | 29.9 | 14.2 | 1.4 | 7.7 | 1.6 | 2.7 | 4.8 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
Mediana | POP TV | 2019-06-01 | 2019-06-23 | N | 718 | N/A | 0.1 | 24.2 | 9.4 | 26.8 | 12.3 | 1.9 | 9.5 | 3.2 | 4.7 | 3.9 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
Ninamedia | Dnevnik and Večer | 2019-06-11 | 2019-06-13 | N | 700 | N/A | 0.1 | 22.3 | 7.5 | 29.6 | 12.1 | 0.7 | 8.0 | 1.6 | 2.1 | 4.1 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2019-05-28 | 2019-06-06 | N | 744 | N/A | 0.1 | 23.1 | 9.5 | 28.6 | 12.7 | 3.1 | 7.5 | 3.1 | 5.5 | 4.4 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Valicon | Politikon-EP | 2019-05-21 | 2019-05-24 | E | 3028 | N/A | 0.1 | 24.7 | 8.6 | 15.0 | 14.7 | 3.5 | 9.1 | 5.0 | 3.6 | 7.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.7
Ninamedia | Dnevnik and Večer | 2019-05-20 | 2019-05-23 | E | 675 | N/A | 0.1 | 25 | 8.3 | 20.6 | 15 | 1.5 | 10.4 | 4.3 | 3.2 | 7.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2019-05-14 | 2019-05-23 | E | 735 | N/A | 0.1 | 16.7 | 9.9 | 14.4 | 15.1 | 1.1 | 11.9 | 2.3 | 11 | 6.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.6
Valicon | Politikon-EP | 2019-05-21 | 2019-05-22 | E | 1012 | N/A | 0.1 | 22.1 | 5.9 | 18.9 | 15.8 | 4 | 7.7 | 5 | 6.2 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.8
Ninamedia | Dnevnik and RTV Slovenija | 2019-05-14 | 2019-05-16 | N | 700 | N/A | 1 | 24 | 8 | 32 | 15 | 0 | 6 | 2 | 2 | 4 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | Dnevnik and RTV Slovenija | 2019-05-14 | 2019-05-16 | N | 700 | N/A | 0.1 | 22.7 | 7.0 | 20.3 | 21.7 | 0.0 | 9.1 | 3.4 | 6.0 | 8.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | Dnevnik, RTV SLO and Večer | 2019-05-14 | 2019-05-16 | E | 700 | N/A | 0.1 | 22.7 | 7 | 20.3 | 21.7 | 0 | 9.1 | 3.4 | 6 | 8.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Mediana | Delo | 2019-05-08 | 2019-05-15 | E | 732 | N/A | 0.1 | 17.4 | 9.1 | 15.3 | 15.9 | 1.7 | 10.4 | 3.7 | 11.6 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.9
Mediana | Delo and POP TV | 2019-05-08 | 2019-05-15 | N | 732 | N/A | 0.1 | 22.0 | 12.2 | 24.0 | 10.1 | 1.6 | 8.1 | 3.2 | 5.2 | 4.6 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2019-05-08 | 2019-05-15 | E | 714 | N/A | 0.1 | 17.4 | 9.1 | 15.3 | 15.9 | 1.7 | 10.4 | 3.7 | 11.6 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2019-04-28 | 2019-04-28 | N | 714 | 81.7 | 0.1 | 14.3 | 5.9 | 17.2 | 6.4 | 3.5 | 5.5 | 1.3 | 3.9 | 2.4 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Ninamedia | Dnevnik and RTV Slovenija | 2019-04-09 | 2019-04-11 | N | 700 | 71.6 | 0.1 | 14.2 | 6.4 | 26.2 | 9.6 | 0.5 | 7.1 | 1.9 | 1.5 | 3.1 | 0.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.5
Parsifal SC | Nova24TV | 2019-04-01 | 2019-04-04 | N | 702 | 68.4 | 0.1 | 18.9 | 4.7 | 16.8 | 7.1 | 1.8 | 5.0 | 2.1 | 4.2 | 3.0 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Mediana | POP TV | 2019-03-24 | 2019-03-24 | N | 792 | 72.3 | 0.1 | 15.9 | 6.5 | 16.6 | 5.7 | 3.2 | 6.6 | 3.5 | 2.8 | 3.3 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Ninamedia | Dnevnik and RTV Slovenija | 2019-03-12 | 2019-03-14 | N | 700 | 74.5 | 0.1 | 13.7 | 6.2 | 28.0 | 8.1 | 0.4 | 8.2 | 1.9 | 2.4 | 3.1 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0
Mediana | Delo | 2019-02-26 | 2019-03-07 | N | 729 | 70.9 | 0.1 | 16.0 | 8.1 | 19.4 | 6.7 | 0.8 | 6.8 | 1.5 | 2.1 | 2.8 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Mediana | POP TV | 2019-02-24 | 2019-02-24 | N | 707 | 73.0 | 0.1 | 16.1 | 6.7 | 20.6 | 5.4 | 2.5 | 4.8 | 3.3 | 2.5 | 3.3 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Ninamedia | Dnevnik and RTV Slovenija | 2019-02-12 | 2019-02-14 | N | 700 | 75.6 | 0.1 | 11.6 | 6.2 | 31.3 | 8.9 | 2.7 | 3.9 | 2.9 | 2.5 | 2.9 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.7
Ninamedia | MMC and RTV Slovenija | 2019-01-29 | 2019-02-06 | N | 731 | 86.0 | 0.1 | 15.1 | 5.4 | 22.4 | 5.8 | 2.7 | 5.2 | 2.4 | 2.6 | 1.7 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | MMC and RTV Slovenija | 2019-01-08 | 2019-01-10 | N | 700 | 71.2 | 0.1 | 16.9 | 7.1 | 18.0 | 11.7 | 3.1 | 4.1 | 2.5 | 1.7 | 2.9 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.1
Ninamedia | N/A | 2018-12-11 | 2018-12-13 | N | 700 | N/A | 1 | 26 | 10 | 18 | 17 | 4 | 8 | 3 | 3 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Parsifal SC | N/A | 2018-12-04 | 2018-12-07 | N | 712 | N/A | 1 | 28 | 6 | 16 | 16 | 3 | 7 | 4 | 8 | 7 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2018-11-25 | 2018-11-25 | N | 714 | 73.0 | 0.1 | 18.3 | 6.1 | 7.0 | 8.9 | 3.7 | 5.5 | 3.2 | 3.8 | 3.4 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5
Ninamedia | Dnevnik and RTV Slovenija | 2018-11-19 | 2018-11-20 | N | 700 | 76.6 | 0.1 | 18.0 | 8.1 | 12.2 | 14.7 | 5.0 | 6.1 | 2.3 | 3.7 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Parsifal SC | N/A | 2018-11-07 | 2018-11-07 | N | 706 | N/A | 1 | 29 | 6 | 18 | 15 | 3 | 6 | 3 | 6 | 3 | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | N/A | 2018-11-01 | 2018-11-01 | N | 725 | N/A | 1 | 31 | 10 | 13 | 11 | 5 | 8 | 5 | 4 | 5 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | N/A | 2018-10-09 | 2018-10-11 | N | 700 | N/A | 1 | 24 | 10 | 19 | 17 | 6 | 7 | 4 | 3 | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | Delo | 2018-10-03 | 2018-10-11 | N | 725 | N/A | 1 | 28 | 9 | 14 | 11 | 7 | 7 | 6 | N/A | 3 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | N/A | 2018-09-11 | 2018-09-13 | N | 700 | 80.1 | 0.1 | 23.7 | 6.2 | 10.2 | 9.8 | 7.1 | 6.1 | 3.7 | 2.4 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Mediana | Delo | 2018-08-30 | 2018-09-06 | N | 715 | 66.9 | 0.1 | 17.9 | 6.9 | 7.2 | 6.6 | 4.4 | 4.7 | 3.2 | 3.2 | 4.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.8
Mediana | POP TV | 2018-08-26 | 2018-08-26 | N | 730 | 67.8 | 0.1 | 20.9 | 6.4 | 9.1 | 6.9 | 4.3 | 4.4 | 3.2 | 3.1 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.6
Ninamedia | Dnevnik and RTV Slovenija | 2018-08-13 | 2018-08-15 | N | 700 | 80.3 | 0.1 | 24.0 | 6.8 | 10.1 | 10.1 | 3.1 | 4.8 | 1.7 | 2.3 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.2
Mediana | POP TV | 2018-07-29 | 2018-07-29 | N | 730 | 72.5 | 0.1 | 20.0 | 7.4 | 10.4 | 7.0 | 4.8 | 5.1 | 3.8 | 4.1 | 1.7 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Ninamedia | Dnevnik and RTV Slovenija | 2018-07-10 | 2018-07-12 | N | 700 | 86.4 | 0.1 | 25.3 | 7.6 | 10.7 | 8.8 | 8.9 | 4.8 | 3.0 | 2.2 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.0
Mediana | POP TV | 2018-06-01 | 2018-06-23 | N | 743 | 80.3 | 0.1 | 24.7 | 8.4 | 10.1 | 8.2 | 5.6 | 4.6 | 3.5 | 3.8 | 2.7 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
Ninamedia | Dnevnik and RTV Slovenija | 2018-06-12 | 2018-06-14 | N | 700 | 85.7 | 0.1 | 25.1 | 8.8 | 11.6 | 9.2 | 9.2 | 3.2 | 3.8 | 3.4 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.3
Parsifal SC | Nova24TV | 2018-06-05 | 2018-06-06 | N | 690 | 73.5 | 0.1 | 23.0 | 7.5 | 12.2 | 8.8 | 5.5 | 4.3 | 3.5 | 3.4 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
