Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SDS | Levica | LMŠ | SD | SMC | NSi | SAB | SNS | DeSUS | SLS | PSS | DD | ZS | PoS | ND | GS | LRG | K | Resni.ca | LIDE | VESNA | Other
Valicon | RTV SLO | 2022-09-26 | 2022-09-28 | N | 1533 | N/A | 0.1 | 22.7 | 8.3 | N/A | 6.6 | N/A | 7.1 | N/A | 2.2 | N/A | N/A | 3.9 | N/A | N/A | 2.1 | 1.1 | 34.4 | N/A | N/A | 6.2 | 0 | 1.9 | 3.5
Mediana | POP TV | 2022-09-12 | 2022-09-19 | N | 729 | N/A | 0.1 | 23.4 | 5.7 | N/A | 7.3 | N/A | 6.3 | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 40.3 | N/A | N/A | 4.7 | N/A | 1.8 | 8.2
Ninamedia | Dnevnik and Večer | 2022-09-12 | 2022-09-15 | N | 700 | N/A | 0.1 | 29.9 | 5.9 | N/A | 8.5 | N/A | 11.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 41.9 | N/A | N/A | N/A | N/A | N/A | 2.5
Mediana | Delo | 2022-09-05 | 2022-09-08 | N | 723 | N/A | 0.1 | 26.0 | 5.9 | N/A | 7.7 | N/A | 9.7 | N/A | 2.2 | N/A | 2.4 | 2.8 | N/A | N/A | N/A | N/A | 35.8 | N/A | N/A | 3.2 | N/A | N/A | 4.4
Parsifal | Planet TV | 2022-08-29 | 2022-08-31 | N | 703 | N/A | 0.1 | 32.2 | 4.3 | N/A | 6.3 | N/A | 7.0 | N/A | 2.9 | N/A | 0.7 | 3.7 | N/A | N/A | N/A | 2.4 | 37.2 | N/A | N/A | 3.2 | N/A | N/A | 0
Mediana | POP TV | 2022-08-22 | 2022-08-25 | N | 721 | N/A | 0.1 | 28.9 | 6.5 | N/A | 6.2 | N/A | 6.8 | N/A | 1.6 | N/A | 1.0 | 2.0 | N/A | N/A | N/A | 0.5 | 38.8 | N/A | N/A | 3.7 | N/A | 1.2 | 2.8
Ninamedia | Dnevnik and Večer | 2022-08-08 | 2022-08-10 | N | 700 | N/A | 0.1 | 30.8 | 6.4 | N/A | 6.9 | N/A | 10.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 44.0 | N/A | N/A | N/A | N/A | N/A | 1.4
Mediana | Delo | 2022-08-01 | 2022-08-04 | N | 716 | N/A | 0.1 | 27.4 | 4.6 | N/A | 9.6 | N/A | 8.6 | N/A | 1.7 | N/A | 0.6 | 1.2 | N/A | N/A | N/A | 1.2 | 37.1 | N/A | 1.3 | 3.6 | N/A | 0.6 | 2.3
Mediana | POP TV | 2022-07-18 | 2022-07-21 | N | 728 | N/A | 0.1 | 24.4 | 6.1 | N/A | 9.2 | N/A | 9.8 | N/A | N/A | N/A | N/A | 3.3 | N/A | N/A | N/A | N/A | 36.2 | N/A | N/A | N/A | N/A | N/A | 11.1
Mediana | Delo | 2022-07-04 | 2022-07-07 | N | 716 | N/A | 0.1 | 23.5 | 5.8 | N/A | 8.7 | N/A | 8.5 | N/A | 0.6 | N/A | N/A | 3.0 | N/A | N/A | 3.4 | 0.6 | 37.6 | N/A | N/A | 3.0 | N/A | 1.6 | 3.7
