Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | GERB | BSPzB | OP | DPS | Volya | RB | DSB | ABV | Da! | DB | Vazrazhdane | VMRO | Ataka | NFSB | ITN | IBG-NI | GERB—SDS | RzB | BP | PP | BV | NDSV | PP–DB | Levitsata! | Other
Маркет ЛИНКС | bTV | 2023-09-26 | 2023-10-08 | N | 1032 | 93.2 | 0.1 | N/A | 9.8 | N/A | 15.2 | N/A | N/A | N/A | N/A | N/A | N/A | 13.6 | N/A | N/A | N/A | 3.4 | N/A | 29.1 | N/A | N/A | N/A | N/A | N/A | 21.6 | N/A | 7.5
Тренд | 24 часа | 2023-09-02 | 2023-09-08 | N | 1002 | 93.5 | 0.1 | N/A | 9.3 | N/A | 14.3 | N/A | N/A | N/A | N/A | N/A | N/A | 17.2 | N/A | N/A | N/A | 4.5 | N/A | 26.6 | N/A | N/A | N/A | 2.2 | N/A | 19.6 | 2.0 | 4.2
Маркет ЛИНКС | bTV | 2023-08-11 | 2023-08-18 | N | 1012 | 97.0 | 0.1 | N/A | 8.6 | N/A | 15.6 | N/A | N/A | N/A | N/A | N/A | N/A | 13.2 | N/A | N/A | N/A | 5.6 | N/A | 27.1 | N/A | N/A | N/A | N/A | N/A | 22.4 | N/A | 7.4
Медиана | N/A | 2023-07-18 | 2023-07-24 | N | 976 | N/A | 0.1 | N/A | 9.9 | N/A | 14.2 | N/A | N/A | N/A | N/A | N/A | N/A | 17.0 | N/A | N/A | N/A | 6.0 | N/A | 25.7 | N/A | N/A | N/A | 2.7 | N/A | 19.9 | 2.3 | 2.2
Тренд | 24 часа | 2023-07-04 | 2023-07-11 | N | 1001 | 93.7 | 0.1 | N/A | 9.2 | N/A | 14.6 | N/A | N/A | N/A | N/A | N/A | N/A | 16.5 | N/A | N/A | N/A | 4.3 | N/A | 26.5 | N/A | N/A | N/A | 1.9 | N/A | 20.4 | 2.0 | 4.6
Gallup International | N/A | 2023-06-29 | 2023-07-09 | N | 809 | N/A | 0.1 | N/A | 9.7 | N/A | 14.5 | N/A | N/A | N/A | N/A | N/A | N/A | 14.9 | N/A | N/A | N/A | 4.3 | N/A | 26.4 | N/A | N/A | N/A | 2.0 | N/A | 21.8 | N/A | 6.4
Център за анализи и маркетинг | N/A | 2023-07-03 | 2023-07-07 | N | 1021 | 95.5 | 0.1 | N/A | 9.4 | N/A | 14.0 | N/A | N/A | N/A | N/A | N/A | N/A | 15.1 | N/A | N/A | N/A | 3.9 | N/A | 27.4 | N/A | N/A | N/A | 1.9 | N/A | 22.4 | 1.9 | 3.9
Маркет ЛИНКС | bTV | 2023-06-22 | 2023-07-02 | N | 1011 | 95.4 | 0.1 | N/A | 9.3 | N/A | 17.8 | N/A | N/A | N/A | N/A | N/A | N/A | 14.5 | N/A | N/A | N/A | 4.0 | N/A | 28.8 | N/A | N/A | N/A | N/A | N/A | 21.9 | N/A | 3.8
Алфа рисърч | N/A | 2023-06-20 | 2023-06-26 | N | 1000 | 96.4 | 0.1 | N/A | 9.1 | N/A | 13.1 | N/A | N/A | N/A | N/A | N/A | N/A | 16.0 | N/A | N/A | N/A | 4.3 | N/A | 26.0 | N/A | N/A | N/A | N/A | N/A | 21.0 | 2.8 | 7.8
Exacta | N/A | 2023-06-12 | 2023-06-20 | N | 1040 | 94.1 | 0.1 | N/A | 10.1 | N/A | 14.0 | N/A | N/A | N/A | N/A | N/A | N/A | 15.7 | N/A | N/A | N/A | 5.1 | N/A | 25.9 | N/A | N/A | N/A | 2.0 | N/A | 21.4 | 1.9 | 3.8
Тренд | 24 часа | 2023-06-10 | 2023-06-16 | N | 1008 | 94.2 | 0.1 | N/A | 9.4 | N/A | 14.3 | N/A | N/A | N/A | N/A | N/A | N/A | 16.2 | N/A | N/A | N/A | 4.6 | N/A | 26.4 | N/A | N/A | N/A | 2.3 | N/A | 20.6 | 2.0 | 3.6
Gallup International | N/A | 2023-04-27 | 2023-05-05 | N | 803 | N/A | 0.1 | N/A | 9.1 | N/A | 13.9 | N/A | N/A | N/A | N/A | N/A | N/A | 14.7 | N/A | N/A | N/A | 4.1 | N/A | 26.8 | N/A | N/A | N/A | 3.2 | N/A | 24.1 | 1.5 | 2.6
Медиана | N/A | 2023-03-17 | 2023-03-22 | N | 978 | N/A | 0.1 | N/A | 8.6 | N/A | 13.2 | N/A | N/A | N/A | N/A | N/A | N/A | 14.5 | N/A | N/A | N/A | 3.4 | N/A | 24.7 | N/A | N/A | N/A | 4.5 | N/A | 23.1 | 4.3 | 3.8
Център за анализи и маркетинг | N/A | 2023-03-16 | 2023-03-19 | N | 1021 | 96.8 | 0.1 | N/A | 8.1 | N/A | 13.8 | N/A | N/A | N/A | N/A | N/A | N/A | 12.5 | N/A | N/A | N/A | 2.9 | N/A | 24.7 | N/A | N/A | N/A | 2.8 | 1.2 | 25.7 | 4.0 | 4.3
Nasoca | N/A | 2023-03-07 | 2023-03-14 | N | 1200 | 95.3 | 0.1 | N/A | 6.5 | N/A | 13.9 | N/A | N/A | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | 3.1 | N/A | 26.0 | N/A | N/A | N/A | 4.5 | N/A | 25.3 | 3.3 | 4.6
Тренд | 24 часа | 2023-03-06 | 2023-03-12 | N | 1003 | 94.9 | 0.1 | N/A | 7.6 | N/A | 13.6 | N/A | N/A | N/A | N/A | N/A | N/A | 12.9 | N/A | N/A | N/A | 3.1 | N/A | 25.6 | N/A | N/A | N/A | 3.6 | N/A | 26.5 | 3.5 | 3.6
Gallup International | N/A | 2023-02-24 | 2023-03-03 | N | 1008 | N/A | 0.1 | N/A | 7.3 | N/A | 13.4 | N/A | N/A | N/A | N/A | N/A | N/A | 12.3 | N/A | N/A | N/A | 3.4 | N/A | 26.6 | N/A | N/A | N/A | 3.7 | N/A | 27.2 | 3.2 | 2.9
Алфа рисърч | N/A | 2023-02-21 | 2023-02-27 | N | 1007 | N/A | 0.1 | N/A | 7.4 | N/A | 13.2 | N/A | N/A | N/A | N/A | N/A | N/A | 11.3 | N/A | N/A | N/A | 3.2 | N/A | 25.2 | N/A | N/A | N/A | 3.8 | 1.4 | 26.4 | 3.6 | 4.5
Sova Harris | N/A | 2023-02-20 | 2023-02-27 | N | 1000 | N/A | 0.1 | N/A | 9.7 | N/A | 11.7 | N/A | N/A | N/A | N/A | N/A | N/A | 10.6 | N/A | N/A | N/A | 3.1 | N/A | 27.4 | N/A | N/A | N/A | 3.7 | 0.9 | 25.7 | 3.9 | 2.0
Медиана | N/A | 2023-02-19 | 2023-02-24 | N | 973 | 93.9 | 0.1 | N/A | 9.5 | N/A | 12.0 | N/A | N/A | N/A | N/A | N/A | N/A | 13.3 | N/A | N/A | N/A | 3.3 | N/A | 26.2 | N/A | N/A | N/A | 4.8 | N/A | 24.2 | 3.7 | 3.0
Gallup International | N/A | 2023-02-02 | 2023-02-12 | N | 808 | N/A | 0.1 | N/A | 8.6 | N/A | 13.4 | N/A | N/A | N/A | N/A | N/A | N/A | 12.3 | N/A | N/A | N/A | 3.9 | N/A | 26.1 | N/A | N/A | N/A | 4.2 | N/A | 27.1 | N/A | 4.4
Тренд | 24 часа | 2023-02-04 | 2023-02-11 | N | 1003 | N/A | 0.1 | N/A | 8.9 | N/A | 12.8 | N/A | N/A | N/A | N/A | N/A | N/A | 11.9 | N/A | N/A | N/A | 3.3 | N/A | 25.6 | N/A | N/A | N/A | 4.0 | N/A | 24.8 | N/A | 3.9
Exacta | N/A | 2023-01-30 | 2023-02-04 | N | 1050 | N/A | 0.1 | N/A | 12.6 | N/A | 13.2 | N/A | N/A | N/A | N/A | N/A | 7.5 | 10.3 | 1.1 | N/A | N/A | 3.3 | N/A | 27.4 | N/A | N/A | 16.9 | 4.3 | 1.1 | N/A | N/A | 2.4
Маркет ЛИНКС | bTV | 2022-12-10 | 2022-12-20 | N | 1022 | N/A | 0.1 | N/A | 9.6 | N/A | 12.2 | N/A | N/A | N/A | N/A | N/A | 8.3 | 10 | N/A | N/A | N/A | 2.2 | N/A | 22.6 | N/A | N/A | 16.2 | 2.6 | N/A | N/A | N/A | N/A
Алфа рисърч | N/A | 2022-12-01 | 2022-12-13 | N | 1023 | N/A | 0.1 | N/A | 10 | N/A | 12.3 | N/A | N/A | N/A | N/A | N/A | 7.7 | 11.8 | N/A | N/A | N/A | N/A | N/A | 27.6 | N/A | N/A | 20.9 | 5.1 | N/A | N/A | N/A | N/A
Exacta | N/A | 2022-12-05 | 2022-12-12 | N | 1050 | N/A | 0.1 | N/A | 10.2 | N/A | 11.5 | N/A | N/A | N/A | N/A | N/A | 7.4 | 8.9 | N/A | N/A | N/A | 2.7 | N/A | 25.2 | N/A | N/A | 19.0 | 5.2 | N/A | N/A | N/A | 4.5
Тренд | 24 часа | 2022-12-01 | 2022-12-08 | N | 1005 | N/A | 0.1 | N/A | 9.0 | N/A | 11.6 | N/A | N/A | N/A | N/A | N/A | 7.3 | 11.3 | N/A | N/A | N/A | 3.1 | N/A | 25.8 | N/A | N/A | 19.2 | 4.0 | N/A | N/A | N/A | N/A
Алфа рисърч | N/A | 2022-09-27 | 2022-09-29 | N | 1025 | N/A | 0.1 | N/A | 10.2 | N/A | 13.1 | N/A | N/A | N/A | N/A | N/A | 8.4 | 11.0 | 1.8 | N/A | N/A | 4.0 | 1.9 | 25.2 | N/A | N/A | 16.5 | 4.4 | N/A | N/A | N/A | N/A
Тренд | 24 часа | 2022-09-21 | 2022-09-27 | N | 1001 | N/A | 0.1 | N/A | 8.7 | N/A | 11.9 | N/A | N/A | N/A | N/A | N/A | 7.6 | 11.0 | 1.2 | N/A | N/A | 4.2 | 2.0 | 25.7 | N/A | N/A | 16.4 | 4.4 | N/A | N/A | N/A | 6.3
Gallup International | N/A | 2022-09-20 | 2022-09-27 | N | 1009 | N/A | 0.1 | N/A | 9.2 | N/A | 13.2 | N/A | N/A | N/A | N/A | N/A | 7.8 | 12.8 | 1.2 | N/A | N/A | 4.2 | 1.9 | 25.8 | N/A | N/A | 16.6 | 4.0 | N/A | N/A | N/A | 3.3
Маркет ЛИНКС | 24 часа | 2022-09-17 | 2022-09-23 | N | 1024 | N/A | 0.1 | N/A | 9.9 | N/A | 12.3 | N/A | N/A | N/A | N/A | N/A | 7.8 | 8.7 | N/A | N/A | N/A | 3.9 | 2.5 | 23.7 | N/A | N/A | 16.9 | 2.5 | N/A | N/A | N/A | 11.8
Exacta | N/A | 2022-09-10 | 2022-09-17 | N | 1050 | N/A | 0.1 | N/A | 12.5 | N/A | 10.3 | N/A | N/A | N/A | N/A | N/A | 7.5 | 9.5 | N/A | N/A | N/A | 5.4 | N/A | 26.2 | N/A | N/A | 18.1 | 4.0 | N/A | N/A | N/A | 6.5
Estat | N/A | 2022-09-10 | 2022-09-17 | N | 1005 | N/A | 0.1 | N/A | 9.3 | N/A | 10.3 | N/A | N/A | N/A | N/A | N/A | 6.9 | 10.1 | 1.0 | N/A | N/A | 4.2 | 1.9 | 26.1 | N/A | N/A | 16.8 | 4.8 | N/A | N/A | N/A | 8.6
Sova Harris | Dir.bg | 2022-09-06 | 2022-09-12 | N | 835 | N/A | 0.1 | N/A | 12.7 | N/A | 8.7 | N/A | N/A | N/A | N/A | N/A | 5.7 | 10.4 | 1.2 | N/A | N/A | 5.1 | 2.9 | 28.8 | N/A | N/A | 18.8 | 4.8 | N/A | N/A | N/A | 0.9
Gallup International | N/A | 2022-09-02 | 2022-09-10 | N | 1002 | N/A | 0.1 | N/A | 9.8 | N/A | 11.5 | N/A | N/A | N/A | N/A | N/A | 7.6 | 11.3 | 1.5 | N/A | N/A | 4.3 | 1.7 | 25.9 | N/A | N/A | 19.2 | 4.2 | N/A | N/A | N/A | 3.0
Медиана | N/A | 2022-08-29 | 2022-09-04 | N | 1008 | N/A | 0.1 | N/A | 13.3 | N/A | 11.1 | N/A | N/A | N/A | N/A | N/A | 5.5 | 12.5 | N/A | N/A | N/A | 6.9 | 3.4 | 22.8 | N/A | N/A | 17.1 | 5.5 | N/A | N/A | N/A | 1.9
Маркет ЛИНКС | bTV | 2022-08-27 | 2022-09-03 | N | 1067 | N/A | 0.1 | N/A | 10.9 | N/A | 10.9 | N/A | N/A | N/A | N/A | N/A | 8.1 | 7.6 | N/A | N/A | N/A | 3.8 | N/A | 22.9 | N/A | N/A | 17.8 | 4.7 | N/A | N/A | N/A | 13.5
Алфа рисърч | N/A | 2022-08-27 | 2022-09-02 | N | 1117 | N/A | 0.1 | N/A | 10.6 | N/A | 11.8 | N/A | N/A | N/A | N/A | N/A | 8.1 | 10.3 | N/A | N/A | N/A | 4.2 | 2.1 | 25.3 | N/A | N/A | 18.9 | 4.5 | N/A | N/A | N/A | 4.1
Тренд | 24 часа | 2022-08-15 | 2022-08-22 | N | 1007 | N/A | 0.1 | N/A | 8.6 | N/A | 10.6 | N/A | N/A | N/A | N/A | N/A | 7.3 | 10.3 | 1.2 | N/A | N/A | 3.9 | 1.9 | 24.4 | N/A | N/A | 19.6 | 4.5 | N/A | N/A | N/A | 7.7
Маркет ЛИНКС | bTV | 2022-07-30 | 2022-08-05 | N | 1020 | N/A | 0.1 | N/A | 11.9 | N/A | 12.6 | N/A | N/A | N/A | N/A | N/A | 9.1 | 9.2 | N/A | N/A | N/A | 3.1 | N/A | 24.5 | N/A | N/A | 20.9 | 4.3 | N/A | N/A | N/A | 4.8
